ID,Owner,Name,Position,Start,End,Salary
5542,Trevor,D.J. Williams,LB,2010,2012,$11
9620,,D'Qwell Jackson,LB,FA,2010
4482,Trevor,Dallas Clark,TE,2010,2010,$68
13219,,Damian Williams,WR,FA,2010
11688,Schexes,Dan Carpenter,K,FA,2010,$1
11308,,Dan Connor,LB,FA,2010
9628,Patrick,Danieal Manning,DB,2010,2012,$2
11674,Schexes,Danny Amendola,WR,2010,2010,$36
10768,,Danny Ware,RB,FA,2010
11788,John,Danny Woodhead,RB/WR,FA,2010,$4
5589,,Darnell Dockett,DL,2010,2010
13465,,Darrell Stuckey,DB,FA,2010
10458,,Darrelle Revis,DB,FA,2010
2164,,Darren Howard,DL,FA,2010
11238,John,Darren McFadden,RB,2010,2012,$14
1203,,Darren Sharper,DB,FA,2010
8544,Koci,Darren Sproles,RB,2009,2011,$118
12570,James,Darrius Heyward-Bey,WR,2009,2011,$14
13305,,Daryl Washington,LB,FA,2010
1762,,Daunte Culpepper,QB,FA,2010
5658,,Dave Ball,DL,FA,2010
1716,Schexes,David Akers,K,FA,2010,$5
12459,,David Buehler,K,FA,2010
10600,,David Clowney,WR,FA,2010
3636,Syed,David Garrard,QB,2008,2010,$16
10491,Trevor,David Harris,LB,2010,2010,$29
11544,,David Hawthorne,LB,FA,2010
13442,Syed,David Reed,WR,FA,2010,$1
11678,John,Davone Bess,WR,FA,2010,$13
9732,Daniel,Dawan Landry,DB,FA,2010,$1
5533,Keyon,DeAngelo Hall,DB,FA,2010,$3
9613,Keyon,DeAngelo Williams,RB,2009,2011,$145
3593,Keyon,Deion Branch,WR,FA,2010,$27
13398,,Deji Karim,RB,FA,2010
8426,James,DeMarcus Ware,LB,2008,2010,$37
13216,Keyon,Demaryius Thomas,WR,2010,2012,$8
9619,Jake/Luke,DeMeco Ryans,LB,2010,2010,$15
9697,,Demetrius Williams,WR,FA,2010
11390,,Dennis Dixon,QB,FA,2010
2163,,Dennis Northcutt,WR,FA,2010
13231,John,Dennis Pitta,TE,2010,2012,$1
12557,,Deon Butler,WR,FA,2010
8627,Daniel,Derek Anderson,QB,2010,2010,$1
10692,,Derek Stanley,WR,FA,2010
8430,Koci,Derrick Johnson,LB,FA,2010,$1
1263,,Derrick Mason,WR,FA,2010
13248,,Derrick Morgan,DL,FA,2010
5760,,Derrick Ward,RB,FA,2010
12602,,Derrick Williams,WR,FA,2010
11283,Schexes,DeSean Jackson,WR,2008,2010,$16
5575,,Devery Henderson,WR,FA,2010
9819,James,Devin Aromashodu,WR,2010,2011,$30
9643,Keyon,Devin Hester,WR,2009,2011,$40
11268,,Devin Thomas,WR,FA,2010
13207,Syed,Dexter McCluster,WR,2010,2012,$8
13215,James,Dez Bryant,WR,2010,2012,$15
9716,,Domenik Hixon,WR,FA,2010
13365,,Dominique Franks,DB,FA,2010
11250,,Dominique Rodgers-Cromartie,DB,FA,2010
12489,Patrick,Donald Brown,RB,2009,2011,$28
1966,Jake/Luke,Donald Driver,WR,2008,2010,$8
11267,Koci,Donnie Avery,WR,FA,2010,$1
1753,Schexes,Donovan McNabb,QB,2009,2010,$33
13353,,Dorin Dickerson,RB,FA
2898,,Drew Bennett,WR,FA,2010
2580,Syed,Drew Brees,QB,2009,2010,$171
11264,,Dustin Keller,TE,FA,2010
10467,James,Dwayne Bowe,WR,2009,2011,$90
3539,Daniel,Dwight Freeney,DL,FA,2010,$1
4498,,E.J. Henderson,LB,FA,2010
11304,,Earl Bennett,WR,FA,2010
13251,Syed,Earl Thomas,DB,2010,2012,$1
11315,Schexes,Early Doucet,WR,2010,2011,$17
4950,,Earnest Graham,RB,FA,2010
13272,Jake/Luke,Ed Dickson,TE,2010,2010,$1
11276,Patrick,Eddie Royal,WR,2008,2010,$13
1755,,Edgerrin James,RB,FA,2010
5526,Syed,Eli Manning,QB,2008,2010,$24
8498,,Ellis Hobbs,DB,FA,2010
9712,,Elvis Dumervil,DL,FA,2010
13295,Koci,Emmanuel Sanders,WR,FA,2010,$11
13252,Patrick,Eric Berry,DB,2010,2012,$1
13271,James,Eric Decker,WR,2010,2012,$2
10481,,Eric Weddle,DB,FA,2010
10770,,Eric Weems,WR,FA,2010
5645,,Ernest Wilford,WR,FA,2010
11870,,Evan Moore,TE,FA,2010
11256,James,Felix Jones,RB,2010,2011,$59
8479,Schexes,Frank Gore,RB,2008,2010,$184
11282,Schexes,Fred Davis,TE,FA,2010,$1
10195,Schexes,Fred Jackson,RB,2009,2011,$1
1430,James,Fred Taylor,RB,2010,2010,$8
10449,,Gaines Adams,DL,FA,2010
11543,Koci,Garrett Hartley,K,FA,2010,$1
10537,,Garrett Wolfe,RB,FA,2010
9267,,George Wilson,DB,FA,2010
13240,,Gerald McCoy,DL,FA,2010
5661,,Gibril Wilson,DB,FA,2010
12491,,Glen Coffee,RB,FA,2010
13217,Trevor,Golden Tate,WR,2010,2012,$15
12460,Trevor,Graham Gano,K,FA,2010,$1
9495,,Greg Camarillo,WR,FA,2010
1445,,Greg Ellis,DL,FA,2010
9638,Keyon,Greg Jennings,WR,2008,2010,$36
10475,Jake/Luke,Greg Olsen,TE,2009,2011,$35
12586,Syed,Hakeem Nicks,WR,2009,2011,$28
9598,,Haloti Ngata,DL,FA,2010
11318,Syed,Harry Douglas,WR,FA,2010,$1
8444,Jake/Luke,Heath Miller,TE,2010,2010,$2
1494,Schexes,Hines Ward,WR,2010,2010,$25
10180,,Hiram Eugene,DB,FA,2010
8458,,J.J. Arrington,RB,FA,2010
3561,Keyon,Jabar Gaffney,WR,FA,2010,$10
11373,Koci,Jacob Tamme,TE,FA,2010,$1
13363,James,Jacoby Ford,WR,2010,2012,$1
10517,Keyon,Jacoby Jones,WR,2010,2010,$60
13205,Koci,Jahvid Best,RB,2010,2012,$28
1693,,Jake Delhomme,QB,FA,2010
11307,Trevor,Jamaal Charles,RB,2008,2010,$4
2136,,Jamal Lewis,RB,FA,2010
10446,,JaMarcus Russell,QB,FA,2010
9674,Syed,James Anderson,LB,FA,2010,$1
12493,Koci,James Davis,RB,FA,2010,$3
1219,James,James Farrior,LB,2009,2011,$2
2432,Schexes,James Hall,DL,FA,2010,$1
11275,,James Hardy,WR,FA,2010
4433,Schexes,James Harrison,LB,2009,2011,$16
10522,Koci,James Jones,WR,2010,2012,$10
12454,Jake/Luke,James Laurinaitis,LB,2009,2011,$9
13214,James,James Starks,RB,2010,2010,$2
5651,Patrick,Jared Allen,DL,2009,2011,$10
12564,,Jarett Dillard,WR,FA,2010
9695,,Jason Avant,WR,FA,2010
5552,,Jason Babin,LB,FA,2010
8440,Patrick,Jason Campbell,QB,2010,2012,$5
286,,Jason Hanson,K,FA,2010
13256,Jake/Luke,Jason Pierre-Paul,DL,2010,2012,$1
10687,Keyon,Jason Snelling,RB,2010,2010,$5
1245,,Jason Taylor,DL,FA,2010
4527,James,Jason Witten,TE,2008,2010,$134
13748,Syed,Javarris James,RB,FA,2010,$1
13259,Koci,Javier Arenas,DB,2010,2012,$1
12520,Schexes,Javon Ringer,RB,FA,2010,$1
9597,James,Jay Cutler,QB,2010,2011,$35
2548,,Jay Feely,K,FA,2010
