ID,Owner,Name,Position,Start,End,Salary
2579,James,Todd Heap,TE,FA,2010,$2
2330,Patrick,Tom Brady,QB,2009,2011,$165
1231,Schexes,Tony Gonzalez,TE,2010,2010,$50
13289,Daniel,Tony Moeaki,TE,2010,2012,$1
5209,Keyon,Tony Romo,QB,2009,2011,$100
9647,John,Tony Scheffler,TE,2008,2010,$28
1757,,Torry Holt,WR,FA,2010
5432,Schexes,Tramon Williams,DB,FA,2010,$1
8560,Syed,Trent Cole,DL,2009,2011,$4
10536,,Trent Edwards,QB,FA,2010
13386,,Trindon Holliday,WR,FA,2010
4474,,Troy Polamalu,DB,FA,2010
10617,Daniel,Troy Smith,QB,FA,2010,$27
12435,,Tyson Jackson,DL,FA,2010
11334,,Tyvon Branch,DB,FA,2010
9592,Daniel,Vernon Davis,TE,2010,2010,$51
9589,Keyon,Vince Young,QB,2009,2011,$1
8475,Keyon,Vincent Jackson,WR,2008,2010,$4
4549,Keyon,Visanthe Shiancoe,TE,2009,2011,$9
12424,,Vontae Davis,DB,FA,2010
5941,Patrick,Wes Welker,WR,2009,2011,$80
9701,,Will Blackmon,DB,FA,2010
5543,,Will Smith,DL,FA,2010
5880,,Willie Parker,RB,FA,2010
4481,John,Willis McGahee,RB,2010,2012,$1
4671,Koci,Yeremiah Bell,DB,2010,2012,$15
10482,Syed,Zach Miller (OAK),TE,2010,2012,$7
