Owner,Name,Position,Start,End,Salary
Koci/Mueller,A.J. Brown,WR,2022,2022,$140
Brett,A.J. Dillon,RB,2020,2022,$7
Schex,A.J. Green,WR,2021,2022,$2
Brett,Aaron Donald,DL,2020,2022,$4
Justin,Aaron Jones,RB,2021,2022,$200
Trevor,Aaron Rodgers,QB,2022,2022,$190
Quinn,Adam Thielen,WR,2022,2022,$44
Trevor,Aidan Hutchinson,DL,2022,2024,$1
Koci/Mueller,Albert Okwuegbunam,TE,2022,2024,$10
Mitch/Mike,Alec Pierce,WR,2022,2024,$8
James/Charles,Alexander Mattison,RB,2022,2024,$40
Jason,Allen Lazard,WR,2022,2024,$26
Mitch/Mike,Allen Robinson,WR,2022,2022,$78
Jason,Alvin Kamara,RB,2020,2022,$215
Jason,Amari Cooper,WR,2022,2024,$55
Quinn,Amari Rodgers,WR,2021,2023,$4
Quinn,Amon-Ra St. Brown,WR,2021,2023,$8
Trevor,Anthony Schwartz,WR,2021,2023,$4
Mitch/Mike,Antoine Winfield,DB,2020,2022,$1
Quinn,Antonio Gibson,RB/WR,2020,2022,$13
Schex,Austin Ekeler,RB,2021,2022,$150
Trevor,Austin Hooper,TE,2022,2023,$1
Patrick,Baker Mayfield,QB,2022,2024,$65
Justin,Bobby Okereke,LB,2022,2024,$1
James/Charles,Bobby Wagner,LB,2022,2022,$15
Mitch/Mike,Boston Scott,RB,2022,2022,$7
Justin,Boye Mafe,DL,2022,2023,$1
James/Charles,Brandin Cooks,WR,2020,2022,$50
Luke,Brandon Aiyuk,WR,2020,2022,$8
Koci/Mueller,Breece Hall,RB,2022,2024,$25
Quinn,Brian Burns,DL,2022,2024,$1
Justin,Brian Robinson,RB,2022,2024,$13
Jason,Bryan Edwards,WR,2020,2022,$8
Quinn,Bryce Perkins,QB,2020,2022,$1
Schex,Budda Baker,DB,2022,2024,$6
Koci/Mueller,Byron Pringle,WR,2021,2023,$1
Koci/Mueller,C.J. Mosley,LB,2021,2023,$2
Justin,Cade Otton,TE,2022,2024,$1
James/Charles,Cade York,K,2022,2024,$1
Jason,Calvin Austin,WR,2022,2024,$2
Schex,Calvin Ridley,WR,2022,2024,$42
Koci/Mueller,Cam Akers,RB,2020,2022,$25
Koci/Mueller,Cameron Heyward,DL,2022,2024,$1
Patrick,Cameron Jordan,DL,2022,2022,$1
Brett,Carson Wentz,QB,2022,2022,$47
Justin,Case Keenum,QB,2021,2023,$1
Justin,CeeDee Lamb,WR,2020,2022,$16
Keyon,Chandler Jones,DL/LB,2022,2022,$1
Luke,Chase Claypool,WR,2020,2022,$4
Justin,Chase Edmonds,RB,2022,2023,$40
Justin,Chase Young,DL,2022,2024,$1
James/Charles,Chris Evans,RB,2022,2023,$3
Schex,Chris Godwin,WR,2022,2024,$70
Justin,Chris Olave,WR,2022,2024,$16
Mitch/Mike,Christian Kirk,WR,2022,2023,$38
Quinn,Christian Kirksey,LB,2020,2022,$3
Patrick,Christian McCaffrey,RB,2022,2022,$295
Brett,Christian Watson,WR,2022,2023,$8
Jason,Chuba Hubbard,RB,2021,2023,$7
James/Charles,Clyde Edwards-Helaire,RB,2020,2022,$25
James/Charles,Cole Holcomb,LB,2022,2024,$1
Luke,Cole Kmet,TE,2020,2022,$2
Quinn,Cooper Kupp,WR,2021,2022,$69
Koci/Mueller,Cooper Rush,QB,2022,2024,$1
Jason,Cordarrelle Patterson,RB,2022,2023,$37
Schex,Corey Davis,WR,2020,2022,$2
Luke,Courtland Sutton,WR,2021,2022,$67
Koci/Mueller,Curtis Samuel,WR,2022,2024,$2
