Owner,Name,Position,Start,End,Salary
Keyon,A.J. Brown,WR,2019,2021,$16
Brett,A.J. Dillon,RB,2020,2022,$7
Schex,A.J. Green,WR,2021,2022,$2
Brett,Aaron Donald,DL,2020,2022,$4
Brett,Aaron Jones,RB,2021,2022,$200
Trevor,Aaron Rodgers,QB,2020,2021,$120
Trevor,Adam Thielen,WR,2020,2021,$138
Quinn,Adam Trautman,TE,2020,2022,$1
James/Charles,Alexander Mattison,RB,2019,2021,$13
Keyon,Allen Robinson,WR,2020,2022,$135
Jason,Alvin Kamara,RB,2020,2022,$215
Jason,Amari Cooper,WR,2020,2021,$160
Quinn,Amari Rodgers,WR,2021,2023,$4
Quinn,Amon-Ra St. Brown,WR,2021,2023,$8
Koci/Mueller,Andy Dalton,QB,2020,2022,$1
Quinn,Anthony Firkser,TE,2021,2021,$5
Luke,Anthony McFarland,RB,2020,2022,$13
Trevor,Anthony Schwartz,WR,2021,2023,$4
Keyon,Anthony Walker,LB,2021,2021,$1
Mitch,Antoine Winfield,DB,2020,2022,$1
Patrick,Antonio Brown,WR,2021,2021,$35
Brett,Antonio Gandy-Golden,WR,2021,2021,$1
Luke,Antonio Gibson,RB/WR,2020,2022,$13
Jason,Auden Tate,WR,2020,2022,$1
Schex,Austin Ekeler,RB,2021,2022,$150
Trevor,Austin Hooper,TE,2019,2021,$3
Koci/Mueller,Azeez Ojulari,DL/LB,2021,2023,$1
Patrick,Baker Mayfield,QB,2021,2023,$160
Luke,Baron Browning,LB,2021,2021,$1
Quinn,Ben Roethlisberger,QB,2021,2021,$67
Patrick,Benardrick McKinney,LB,2021,2021,$1
Jason,Benny Snell,RB,2019,2021,$4
Quinn,Blake Jarwin,TE,2021,2021,$4
Quinn,Blake Martinez,LB,2021,2021,$25
James/Charles,Bobby Wagner,LB,2020,2021,$21
Luke,Boston Scott,RB,2020,2022,$15
Quinn,Brandin Cooks,WR,2020,2022,$50
Luke,Brandon Aiyuk,WR,2020,2022,$8
Schex,Breshad Perriman,WR,2020,2022,$7
Quinn,Brian Burns,DL/LB,2019,2021,$1
Jason,Bryan Edwards,WR,2020,2022,$8
Quinn,Bryce Perkins,QB,2020,2022,$1
Quinn,Budda Baker,DB,2021,2021,$24
