ID,Owner,Player,Position,Start,End,Salary
-1,Justin,A.J. Brown,WR,2024,2026,$169
-1,Keyon,Aaron Jones,RB,2024,2024,$72
-1,Brett,Aaron Rodgers,QB,2023,2024,$135
-1,Patrick,Adam Thielen,WR,2023,2025,$7
-1,Jason,Adonai Mitchell,WR,2024,2026,$8
-1,Mike,Aidan Hutchinson,DL,2022,2024,$1
-1,Jason,Aidan O'Connell,QB,2023,2025,$2
-1,Mitch,Alec Pierce,WR,2022,2024,$8
-1,Patrick,Alex Anzalone,LB,2024,2024,$1
-1,Luke,Alex Highsmith,DL/LB,2023,2024,$2
-1,Anthony,Alex Singleton,LB,2023,2025,$1
-1,Patrick,Alexander Mattison,RB,2024,2026,$2
-1,Anthony,Alvin Kamara,RB,2023,2024,$40
-1,Mike,Amari Cooper,WR,2022,2024,$55
-1,Schexes,Amon-Ra St. Brown,WR,2024,2025,$215
-1,Luke,Andre Cisco,DB,2023,2024,$1
-1,Mike,Andrei Iosivas,WR,2023,2025,$1
-1,Keyon,Anthony Richardson,QB,2023,2025,$30
-1,Keyon,Antoine Winfield,DB,2023,2025,$3
-1,Luke,Antonio Gibson,RB,2023,2025,$8
-1,Schexes,Audric Estime,RB,2024,2026,$3
-1,Justin,Austin Ekeler,RB,2024,2024,$25
-1,Schexes,Azeez Al-Shaair,LB,2024,2026,$8
-1,Patrick,Baker Mayfield,QB,2022,2024,$65
-1,Jason,Ben Sinnott,TE,2024,2026,$3
-1,Quinn,Bijan Robinson,RB,2023,2025,$25
-1,Schexes,Blake Cashman,LB,2024,2026,$1
-1,Brett,Blake Corum,RB,2024,2026,$12
-1,Brett,Bo Nix,QB,2024,2026,$40
-1,Justin,Bobby Okereke,LB,2022,2024,$1
-1,Quinn,Bobby Wagner,LB,2024,2024,$14
-1,Anthony,Braden Fiske,DL,2024,2026,$1
-1,Schexes,Braelon Allen,RB,2024,2026,$6
-1,Schexes,Brandin Cooks,WR,2023,2024,$20
-1,Mike,Brandon Aiyuk,WR,2023,2025,$50
-1,Keyon,Brandon Aubrey,K,2024,2026,$7
-1,Mike,Braxton Berrios,WR,2024,2024,$1
-1,Koci/Mueller,Breece Hall,RB,2022,2024,$25
-1,Koci/Mueller,Brenden Rice,WR,2024,2026,$1
-1,Luke,Brian Branch,DB,2023,2025,$1
-1,Quinn,Brian Burns,DL,2022,2024,$1
-1,Justin,Brian Robinson,RB,2022,2024,$13
-1,Keyon,Brian Thomas,WR,2024,2026,$16
-1,Schexes,Brock Bowers,TE,2024,2026,$9
-1,Keyon,Brock Purdy,QB,2023,2024,$88
-1,Keyon,Bryce Young,QB,2023,2025,$30
-1,Schexes,Bucky Irving,RB,2024,2026,$12
-1,Anthony,Budda Baker,DB,2022,2024,$6
-1,Anthony,Byron Murphy,DL,2024,2026,$1
-1,Mike,C.J. Mosley,LB,2024,2024,$4
-1,Brett,C.J. Stroud,QB,2023,2025,$30
-1,Justin,Cade Otton,TE,2022,2024,$1
-1,Luke,Cade Stover,TE,2024,2026,$1
-1,Schexes,Caleb Williams,QB,2024,2026,$40
-1,Anthony,Calvin Ridley,WR,2022,2024,$42
-1,Koci/Mueller,Cameron Dicker,K,2024,2024,$1
-1,Schexes,Camryn Bynum,DB,2024,2026,$7
-1,Mike,Carson Steele,RB,2024,2026,$2
-1,Schexes,Cedric Tillman,WR,2023,2025,$4
-1,Quinn,CeeDee Lamb,WR,2023,2025,$195
-1,Keyon,Chase Brown,RB,2023,2025,$7
-1,Quinn,Chase Young,DL,2022,2024,$1
-1,Koci/Mueller,Chigoziem Okonkwo,TE,2023,2025,$6
-1,Quinn,Chris Godwin,WR,2022,2024,$70
-1,Mike,Chris Jones,DL,2023,2024,$1
-1,Quinn,Chris Olave,WR,2022,2024,$16
-1,Quinn,Christian Kirk,WR,2024,2025,$75
-1,Jason,Christian McCaffrey,RB,2023,2025,$250
-1,Justin,Christian Watson,WR,2024,2026,$44
