"Player","Team","Position","Type","Team","Bid","Pr","Grp/Max","Date (PST)","Week"
"Christian Wilkins","MIA","DL","Drop","(SCHX) Gridiron Chefs","","1","1/99","Sun Jan 2, 2022, 9:16AM","17"
"Rasul Douglas","ARI/GB","DB","Claim","(Keyon) As The World Turns Japanese","2.00","1","1/99","Sun Jan 2, 2022, 9:00AM","17"
"DeVante Parker","MIA","WR","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Sun Jan 2, 2022, 9:00AM","17"
"James Washington","PIT","WR","Claim","(SCHX) Gridiron Chefs","3.00","1","1/99","Sun Jan 2, 2022, 9:00AM","17"
"Kenny Moore","IND","DB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Sun Jan 2, 2022, 9:00AM","17"
"Marcus Davenport","NO","DL","Claim","(Keyon) As The World Turns Japanese","2.00","2","1/99","Sat Jan 1, 2022, 9:00AM","17"
"Charles Harris","DET","DL,LB","Drop","(Keyon) As The World Turns Japanese","","2","1/99","Sat Jan 1, 2022, 9:00AM","17"
"Breshad Perriman","CHI/TB","WR","Claim","(Keyon) As The World Turns Japanese","4.00","1","1/99","Sat Jan 1, 2022, 9:00AM","17"
"Germaine Pratt","CIN","LB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Sat Jan 1, 2022, 9:00AM","17"
"Khari Willis","IND","DB","Claim","(REYN) One Sakura Tree Tannehill","1.00","1","1/99","Fri Dec 31, 2021, 9:00AM","17"
"Allen Lazard","GB","WR","Claim","(SCHX) Gridiron Chefs","4.00","1","1/99","Fri Dec 31, 2021, 9:00AM","17"
"K.J. Osborn","MIN","WR","Drop","(SCHX) Gridiron Chefs","","1","1/99","Fri Dec 31, 2021, 9:00AM","17"
"Jordan Fuller","LAR","DB","Claim","(SCHX) Gridiron Chefs","1.00","2","1/99","Thu Dec 30, 2021, 9:00AM","17"
"D'Ernest Johnson","CLE","RB","Drop","(SCHX) Gridiron Chefs","","2","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Jake Elliott","PHI","K","Claim","(Keyon) As The World Turns Japanese","1.00","2","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Younghoe Koo","ATL","K","Drop","(Keyon) As The World Turns Japanese","","2","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Dare Ogunbowale","JAX","RB","Claim","(REYN) One Sakura Tree Tannehill","30.00","2","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Josh Johnson","BAL","QB","Drop","(REYN) One Sakura Tree Tannehill","","2","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Boston Scott","PHI","RB","Claim","(REYN) One Sakura Tree Tannehill","30.00","1","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Brandon Bolden","NE","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Thu Dec 30, 2021, 9:00AM","17"
"K.J. Osborn","MIN","WR","Claim","(SCHX) Gridiron Chefs","25.00","1","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Justin Jackson","LAC","RB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Thu Dec 30, 2021, 9:00AM","17"
"Elliott Fry","ATL/KC/GB/CIN","K","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Wed Dec 29, 2021, 4:20AM","17"
"Josh Johnson","BAL","QB","Claim","(REYN) One Sakura Tree Tannehill","3.00","1","1/99","Sun Dec 26, 2021, 9:00AM","16"
"Ameer Abdullah","MIN/CAR","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Sun Dec 26, 2021, 9:00AM","16"
"Brandon Bolden","NE","RB","Claim","(REYN) One Sakura Tree Tannehill","20.00","1","1/99","Sat Dec 25, 2021, 9:00AM","16"
"K.J. Osborn","MIN","WR","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Sat Dec 25, 2021, 9:00AM","16"
"Deonte Harty","NO","WR","Claim","(SCHX) Gridiron Chefs","1.00","1","1/99","Sat Dec 25, 2021, 9:00AM","16"
"Marlon Mack","(N/A)","RB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Sat Dec 25, 2021, 9:00AM","16"
"Younghoe Koo","ATL","K","Claim","(Keyon) As The World Turns Japanese","2.00","1","1/99","Fri Dec 24, 2021, 9:00AM","16"
"Anthony Walker","CLE","LB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Fri Dec 24, 2021, 9:00AM","16"
"Christian Wilkins","MIA","DL","Claim","(SCHX) Gridiron Chefs","1.00","2","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Divine Deablo","LV","LB,DB","Drop","(SCHX) Gridiron Chefs","","2","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Charles Harris","DET","DL,LB","Claim","(Keyon) As The World Turns Japanese","3.00","2","1/99","Thu Dec 23, 2021, 9:00AM","16"
"DeAndre Carter","WAS","WR","Drop","(Keyon) As The World Turns Japanese","","2","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Elliott Fry","ATL/KC/GB/CIN","K","Claim","(REYN) One Sakura Tree Tannehill","5.00","3","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Corey Clement","DAL","RB","Drop","(REYN) One Sakura Tree Tannehill","","3","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Justin Jackson","LAC","RB","Claim","(SCHX) Gridiron Chefs","88.00","1","1/99","Thu Dec 23, 2021, 9:00AM","16"
"T.Y. Hilton","IND","WR","Drop","(SCHX) Gridiron Chefs","","1","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Germaine Pratt","CIN","LB","Claim","(Keyon) As The World Turns Japanese","6.00","1","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Tyler Conklin","MIN","TE","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Thu Dec 23, 2021, 9:00AM","16"
"Tashaun Gipson","CHI","DB","Claim","(MITCH) Tokyo Bear Kitty","1.00","1","1/99","Mon Dec 20, 2021, 9:00AM","15"
"Cory Littleton","LV","LB","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Mon Dec 20, 2021, 9:00AM","15"
"Nick Mullens","CLE","QB","Claim","(pat) Tecmo Bo and the Beautiful","1.00","1","1/99","Sat Dec 18, 2021, 9:00AM","15"
"Javian Hawkins","LAR","RB","Drop","(pat) Tecmo Bo and the Beautiful","","1","1/99","Sat Dec 18, 2021, 9:00AM","15"
"Gerald Everett","SEA","TE","Claim","(SCHX) Gridiron Chefs","1.00","1","1/99","Sat Dec 18, 2021, 9:00AM","15"
"Jordan Fuller","LAR","DB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Sat Dec 18, 2021, 9:00AM","15"
"Azeez Al-Shaair","SF","LB","Claim","(RIDD)Remember this Asian nations HS QB","1.00","4","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Jakeem Grant","MIA/CHI","WR","Claim","(RIDD)Remember this Asian nations HS QB","1.00","2","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Kenyan Drake","LV","RB","Drop","(RIDD)Remember this Asian nations HS QB","","2","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Duke Johnson","MIA","RB","Claim","(MITCH) Tokyo Bear Kitty","1.00","1","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Giovani Bernard","TB","RB","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Chandler Jones","ARI","DL,LB","Claim","(RIDD)Remember this Asian nations HS QB","5.00","1","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Leonard Williams","NYG","DL","Drop","(RIDD)Remember this Asian nations HS QB","","1","1/99","Fri Dec 17, 2021, 9:00AM","15"
"D'Ernest Johnson","CLE","RB","Claim","(SCHX) Gridiron Chefs","5.00","1","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Ronnie Harrison","CLE","DB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Fri Dec 17, 2021, 9:00AM","15"
"Logan Thomas","WAS","TE","Drop","(RIDD)Remember this Asian nations HS QB","","1","1/99","Thu Dec 16, 2021, 1:11PM","15"
"Braxton Berrios","NYJ","WR","Claim","(REYN) One Sakura Tree Tannehill","7.00","2","1/99","Thu Dec 16, 2021, 9:00AM","15"
"David Long","TEN","LB","Drop","(REYN) One Sakura Tree Tannehill","","2","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Jason Sanders","MIA","K","Claim","(QTM) Ezekiki's Delivery Service","4.00","3","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Chris Boswell","PIT","K","Drop","(QTM) Ezekiki's Delivery Service","","3","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Tyler Huntley","BAL","QB","Claim","(SCHX) Gridiron Chefs","37.00","1","1/1","Thu Dec 16, 2021, 9:00AM","15"
"DeAndre Hopkins","ARI","WR","Drop","(SCHX) Gridiron Chefs","","1","1/1","Thu Dec 16, 2021, 9:00AM","15"
"Matt Breida","BUF","RB","Claim","(QTM) Ezekiki's Delivery Service","15.00","1","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Devontae Booker","NYG","RB","Drop","(QTM) Ezekiki's Delivery Service","","1","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Corey Clement","DAL","RB","Claim","(REYN) One Sakura Tree Tannehill","7.00","1","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Jamycal Hasty","SF","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Quincy Williams","NYJ","LB","Claim","(Keyon) As The World Turns Japanese","8.00","1","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Daniel Carlson","LV","K","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Thu Dec 16, 2021, 9:00AM","15"
"Alex Collins","SEA","RB","Claim","(MITCH) Tokyo Bear Kitty","4.00","1","1/99","Wed Dec 8, 2021, 8:05PM","14"
"Mike White","NYJ","QB","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Wed Dec 8, 2021, 8:05PM","14"
"Mike Glennon","NYG","QB","Claim","(pat) Tecmo Bo and the Beautiful","9.00","1","1/99","Sat Dec 11, 2021, 9:00AM","14"
"Jason Myers","SEA","K","Drop","(pat) Tecmo Bo and the Beautiful","","1","1/99","Sat Dec 11, 2021, 9:00AM","14"
"Daniel Carlson","LV","K","Claim","(Keyon) As The World Turns Japanese","1.00","1","1/99","Sat Dec 11, 2021, 9:00AM","14"
"Boston Scott","PHI","RB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Sat Dec 11, 2021, 9:00AM","14"
"Divine Deablo","LV","LB,DB","Claim","(SCHX) Gridiron Chefs","1.00","1","1/1","Sat Dec 11, 2021, 9:00AM","14"
"Gerald Everett","SEA","TE","Drop","(SCHX) Gridiron Chefs","","1","1/1","Sat Dec 11, 2021, 9:00AM","14"
"Nick Westbrook-Ikhine","TEN","WR","Claim","(pat) Tecmo Bo and the Beautiful","1.00","3","1/99","Fri Dec 10, 2021, 9:00AM","14"
"Baron Browning","DEN","LB","Claim","(pat) Tecmo Bo and the Beautiful","1.00","2","1/99","Fri Dec 10, 2021, 9:00AM","14"
"Jeffery Simmons","TEN","DL","Claim","(pat) Tecmo Bo and the Beautiful","1.00","1","1/99","Fri Dec 10, 2021, 9:00AM","14"
"Devontae Booker","NYG","RB","Claim","(QTM) Ezekiki's Delivery Service","3.00","1","1/99","Fri Dec 10, 2021, 9:00AM","14"
"Zach Cunningham","HOU/TEN","LB","Drop","(QTM) Ezekiki's Delivery Service","","1","1/99","Fri Dec 10, 2021, 9:00AM","14"
"Robert Tonyan","GB","TE","Drop","(pat) Tecmo Bo and the Beautiful","","1","1/99","Fri Dec 10, 2021, 8:33AM","14"
"Jamycal Hasty","SF","RB","Claim","(REYN) One Sakura Tree Tannehill","10.00","4","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Bobby Okereke","IND","LB","Drop","(REYN) One Sakura Tree Tannehill","","4","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Fred Warner","SF","LB","Claim","(REYN) One Sakura Tree Tannehill","7.00","3","1/99","Thu Dec 9, 2021, 9:00AM","14"
