"Player","Team","Position","Type","Team","Bid","Pr","Grp/Max","Date (PST)","Week"
"Harvey Langi","NYJ","LB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Sat Dec 5, 2020, 9:00AM","13"
"Myles Jack","JAX","LB","Claim","(QTM) Tyler Dethklokett","2.00","2","1/99","Fri Dec 4, 2020, 9:00AM","13"
"Dante Pettis","SF/NYG","WR","Drop","(QTM) Tyler Dethklokett","","2","1/99","Fri Dec 4, 2020, 9:00AM","13"
"Colt McCoy","NYG","QB","Claim","(QTM) Tyler Dethklokett","5.00","1","1/99","Fri Dec 4, 2020, 9:00AM","13"
"Chase Daniel","DET","QB","Drop","(QTM) Tyler Dethklokett","","1","1/99","Fri Dec 4, 2020, 9:00AM","13"
"Keke Coutee","HOU","WR","Claim","(REYN) Sex Bob-omb and the City","25.00","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Jordan Akins","HOU","TE","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Olivier Vernon","CLE","DL","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Quinnen Williams","NYJ","DL","Claim","Figrin J'OHN and the Modal Nodes","5.00","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Shaquil Barrett","TB","LB","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Troy Hill","LAR","DB","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Robert Griffin","BAL","QB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Thu Dec 3, 2020, 9:00AM","13"
"Ashtyn Davis","NYJ","DB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","2","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Rex Burkhead","NE","RB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","2","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Kendall Hinton","DEN","WR","Claim","Figrin J'OHN and the Modal Nodes","50.00","1","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Donovan Peoples-Jones","CLE","WR","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Jordan Wilkins","IND","RB","Claim","(QTM) Tyler Dethklokett","10.00","1","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Jeremy McNichols","TEN","RB","Drop","(QTM) Tyler Dethklokett","","1","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Tyler Eifert","JAX","TE","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Greg Olsen","SEA","TE","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Sun Nov 29, 2020, 9:00AM","12"
"Olivier Vernon","CLE","DL","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Sat Nov 28, 2020, 9:00AM","12"
"Myles Jack","JAX","LB","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Sat Nov 28, 2020, 9:00AM","12"
"Robert Griffin","BAL","QB","Claim","(SCHX) Onederlic Life to Live","3.00","1","1/99","Sat Nov 28, 2020, 9:00AM","12"
"Salvon Ahmed","MIA","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Sat Nov 28, 2020, 9:00AM","12"
"T.J. Edwards","PHI","LB","Claim","(pat) Crucifictorious Maids","1.00","1","1/99","Fri Nov 27, 2020, 9:00AM","12"
"Brian Poole","NYJ","DB","Drop","(pat) Crucifictorious Maids","","1","1/99","Fri Nov 27, 2020, 9:00AM","12"
"Harvey Langi","NYJ","LB","Claim","(SCHX) Onederlic Life to Live","1.00","2","1/99","Thu Nov 26, 2020, 9:00AM","12"
"Jordan Wilkins","IND","RB","Drop","(SCHX) Onederlic Life to Live","","2","1/99","Thu Nov 26, 2020, 9:00AM","12"
"Brandon Allen","CIN","QB","Claim","(Luke) The Folksmen","6.00","1","1/99","Thu Nov 26, 2020, 9:00AM","12"
"Melvin Ingram","LAC","DL","Drop","(Luke) The Folksmen","","1","1/99","Thu Nov 26, 2020, 9:00AM","12"
"Alex Singleton","PHI","LB","Claim","(REYN) Sex Bob-omb and the City","2.00","1","1/99","Thu Nov 26, 2020, 9:00AM","12"
"T.J. Edwards","PHI","LB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Thu Nov 26, 2020, 9:00AM","12"
"Eric Wilson","MIN","LB","Claim","Cap'n Geech & The Shrimp Shaq Shooters","1.00","1","1/99","Sat Nov 21, 2020, 9:00AM","11"
"Ed Oliver","BUF","DL","Drop","Cap'n Geech & The Shrimp Shaq Shooters","","1","1/99","Sat Nov 21, 2020, 9:00AM","11"
"Rashard Higgins","CLE","WR","Claim","(Luke) The Folksmen","1.00","2","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Antonio Callaway","MIA","WR","Drop","(Luke) The Folksmen","","2","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Chase Daniel","DET","QB","Claim","(QTM) Tyler Dethklokett","1.00","2","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Josh Jones","JAX","DB","Drop","(QTM) Tyler Dethklokett","","2","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Harrison Smith","MIN","DB","Claim","(QTM) Tyler Dethklokett","2.00","1","1/99","Fri Nov 20, 2020, 9:00AM","11"
"C.J. Beathard","SF","QB","Drop","(QTM) Tyler Dethklokett","","1","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Mark Ingram","BAL","RB","Claim","(Luke) The Folksmen","1.00","1","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Buddy Howell","HOU","RB","Drop","(Luke) The Folksmen","","1","1/99","Fri Nov 20, 2020, 9:00AM","11"
"Nick Kwiatkoski","LV","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","4","1/99","Thu Nov 19, 2020, 9:00AM","11"
"De'Vondre Campbell","ARI","LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","4","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Aldon Smith","DAL","DL,LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","3","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Danny Trevathan","CHI","LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","3","1/99","Thu Nov 19, 2020, 9:00AM","11"
"A.J. Klein","BUF","LB","Claim","(SCHX) Onederlic Life to Live","1.00","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Kyzir White","LAC","LB","Drop","(SCHX) Onederlic Life to Live","","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Zach Ertz","PHI","TE","Claim","(Luke) The Folksmen","1.00","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Dez Bryant","BAL","WR","Drop","(Luke) The Folksmen","","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Greg Olsen","SEA","TE","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Ross Dwelley","SF","TE","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Kerryon Johnson","DET","RB","Claim","(QTM) Tyler Dethklokett","10.00","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Raymond Calais","LAR","RB","Drop","(QTM) Tyler Dethklokett","","2","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Phillip Walker","CAR","QB","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Salvon Ahmed","MIA","RB","Claim","(SCHX) Onederlic Life to Live","42.00","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Mark Ingram","BAL","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Austin Walter","SF","RB","Claim","(QTM) Tyler Dethklokett","10.00","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Isaiah Coulter","HOU","WR","Drop","(QTM) Tyler Dethklokett","","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"T.J. Edwards","PHI","LB","Claim","(REYN) Sex Bob-omb and the City","2.00","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Avery Williamson","NYJ/PIT","LB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Jakeem Grant","MIA","WR","Claim","Figrin J'OHN and the Modal Nodes","20.00","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Rashard Higgins","CLE","WR","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Nov 19, 2020, 9:00AM","11"
"Jordan Howard","MIA/PHI","RB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Mon Nov 16, 2020, 1:07PM","11"
"Isaiah Coulter","HOU","WR","Claim","(QTM) Tyler Dethklokett","1.00","1","1/99","Mon Nov 16, 2020, 8:05PM","11"
"Austin Walter","SF","RB","Drop","(QTM) Tyler Dethklokett","","1","1/99","Mon Nov 16, 2020, 8:05PM","11"
"Austin Walter","SF","RB","Claim","(QTM) Tyler Dethklokett","22.00","1","1/99","Mon Nov 16, 2020, 9:00AM","11"
"Isaiah Coulter","HOU","WR","Drop","(QTM) Tyler Dethklokett","","1","1/99","Mon Nov 16, 2020, 9:00AM","11"
"Cairo Santos","CHI","K","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Mon Nov 16, 2020, 9:00AM","10"
"Antonio Callaway","MIA","WR","Claim","(Luke) The Folksmen","1.00","2","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Mason Rudolph","PIT","QB","Drop","(Luke) The Folksmen","","2","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Buddy Howell","HOU","RB","Claim","(Luke) The Folksmen","1.00","1","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Justin Jackson","LAC","RB","Drop","(Luke) The Folksmen","","1","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Danny Trevathan","CHI","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Alex Highsmith","PIT","DL,LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Zane Gonzalez","ARI","K","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Sun Nov 15, 2020, 9:00AM","10"
"Gerald Everett","LAR","TE","Claim","(QTM) Tyler Dethklokett","2.00","2","1/99","Fri Nov 13, 2020, 9:00AM","10"
"Zach Ertz","PHI","TE","Drop","(QTM) Tyler Dethklokett","","2","1/99","Fri Nov 13, 2020, 9:00AM","10"
"Kalen Ballage","NYJ/LAC","RB","Claim","(QTM) Tyler Dethklokett","2.00","1","1/99","Fri Nov 13, 2020, 9:00AM","10"
"De'Vondre Campbell","ARI","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Fri Nov 13, 2020, 9:00AM","10"
"Neville Hewitt","NYJ","LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Fri Nov 13, 2020, 9:00AM","10"
"Cody Parkey","CLE","K","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Nov 12, 2020, 9:35AM","10"
"Myles Jack","JAX","LB","Claim","(Keyon) Quon T. Hill and the Zits","2.00","2","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Christopher Herndon","NYJ","TE","Drop","(Keyon) Quon T. Hill and the Zits","","2","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Avery Williamson","NYJ/PIT","LB","Claim","(REYN) Sex Bob-omb and the City","3.00","1","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Vince Williams","(N/A)","LB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Mason Rudolph","PIT","QB","Claim","(Luke) The Folksmen","1.00","1","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Kyle Allen","WAS","QB","Drop","(Luke) The Folksmen","","1","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Daniel Sorensen","KC","DB","Claim","(Keyon) Quon T. Hill and the Zits","2.00","1","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Gerald Everett","LAR","TE","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Nov 12, 2020, 9:00AM","10"
"Greg Olsen","SEA","TE","Drop","Cap'n Geech & The Shrimp Shaq Shooters","","1","1/99","Mon Nov 9, 2020, 8:05PM","10"
"Jordan Wilkins","IND","RB","Claim","Kelce and the Kickers (MITCH)","2.00","2","1/99","Sun Nov 8, 2020, 9:00AM","9"
"Logan Wilson","CIN","LB","Drop","Kelce and the Kickers (MITCH)","","2","1/99","Sun Nov 8, 2020, 9:00AM","9"
"Joe Flacco","NYJ","QB","Claim","Kelce and the Kickers (MITCH)","1.00","1","1/99","Sun Nov 8, 2020, 9:00AM","9"
"Darrel Williams","KC","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Sun Nov 8, 2020, 9:00AM","9"
"Garrett Gilbert","CLE/DAL","QB","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Sun Nov 8, 2020, 9:00AM","9"
"Romeo Okwara","DET","DL","Claim","(pat) Crucifictorious Maids","1.00","1","1/99","Sat Nov 7, 2020, 9:00AM","9"
"Avery Williamson","NYJ/PIT","LB","Drop","(pat) Crucifictorious Maids","","1","1/99","Sat Nov 7, 2020, 9:00AM","9"
"Ben DiNucci","DAL","QB","Claim","Kelce and the Kickers (MITCH)","1.00","1","1/99","Mon Nov 2, 2020, 8:05PM","9"
"Chase Daniel","DET","QB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Mon Nov 2, 2020, 8:05PM","9"
"Alex Highsmith","PIT","DL,LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Fri Nov 6, 2020, 9:00AM","9"
"Aldon Smith","DAL","DL,LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Fri Nov 6, 2020, 9:00AM","9"
"Chase Daniel","DET","QB","Claim","Kelce and the Kickers (MITCH)","2.00","2","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Ben DiNucci","DAL","QB","Drop","Kelce and the Kickers (MITCH)","","2","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Jordan Howard","MIA/PHI","RB","Claim","(REYN) Sex Bob-omb and the City","8.00","2","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Julian Edelman","NE","WR","Drop","(REYN) Sex Bob-omb and the City","","2","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Demarcus Lawrence","DAL","DL","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Eric Wilson","MIN","LB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Nick Mullens","SF","QB","Claim","Kelce and the Kickers (MITCH)","8.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Tyler Eifert","JAX","TE","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Michael Badgley","LAC","K","Claim","(REYN) Sex Bob-omb and the City","3.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Robbie Gould","SF","K","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Jamie Collins","DET","LB","Claim","(pat) Crucifictorious Maids","1.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Jakobi Meyers","NE","WR","Claim","(Luke) The Folksmen","3.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Jason Myers","SEA","K","Drop","(Luke) The Folksmen","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Jordan Reed","SF","TE","Claim","(TMAN) Dr Teeth and The Electric Mayhem","2.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Davion Taylor","PHI","LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Ross Dwelley","SF","TE","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","3/99","Thu Nov 5, 2020, 9:00AM","9"
"Rodney McLeod","PHI","DB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","3/99","Thu Nov 5, 2020, 9:00AM","9"
"Stephon Tuitt","PIT","DL","Claim","(Keyon) Quon T. Hill and the Zits","2.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Logan Ryan","NYG","DB","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Deonte Harty","NO","WR","Claim","Figrin J'OHN and the Modal Nodes","15.00","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Scott Miller","TB","WR","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Nov 5, 2020, 9:00AM","9"
"Ty Summers","GB","LB","Drop","(pat) Crucifictorious Maids","","1","1/99","Thu Nov 5, 2020, 7:51AM","9"
"Shaquill Griffin","SEA","DB","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Mon Nov 2, 2020, 8:05PM","9"
"Denzel Ward","CLE","DB","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Mon Nov 2, 2020, 8:05PM","9"
"Matt Prater","DET","K","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","1","1/99","Sat Oct 31, 2020, 9:00AM","8"
"Zane Gonzalez","ARI","K","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","1","1/99","Sat Oct 31, 2020, 9:00AM","8"
"Davion Taylor","PHI","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Sat Oct 31, 2020, 9:00AM","8"
"Nathan Gerry","PHI","LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Sat Oct 31, 2020, 9:00AM","8"
"Greg Ward","PHI","WR","Claim","Kelce and the Kickers (MITCH)","2.00","3","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Ben DiNucci","DAL","QB","Claim","Kelce and the Kickers (MITCH)","1.00","4","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Jason Sanders","MIA","K","Claim","Cap'n Geech & The Shrimp Shaq Shooters","1.00","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Ka'imi Fairbairn","HOU","K","Drop","Cap'n Geech & The Shrimp Shaq Shooters","","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Stephen Gostkowski","TEN","K","Claim","Kelce and the Kickers (MITCH)","1.00","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Sam Sloman","LAR/TEN","K","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Rex Burkhead","NE","RB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Jace Sternberger","GB","TE","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Gerald Everett","LAR","TE","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Darren Fells","HOU","TE","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Rayshawn Jenkins","LAC","DB","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"D'Ernest Johnson","CLE","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Fri Oct 30, 2020, 9:00AM","8"
"Landon Collins","WAS","DB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Mon Oct 26, 2020, 8:05PM","8"
"Devine Ozigbo","JAX","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Mon Oct 26, 2020, 8:05PM","8"
"Nelson Agholor","LV","WR","Claim","Figrin J'OHN and the Modal Nodes","5.00","6","1/99","Thu Oct 29, 2020, 9:00AM","8"
"De'Vondre Campbell","ARI","LB","Drop","Figrin J'OHN and the Modal Nodes","","6","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Malcolm Butler","TEN","DB","Claim","Figrin J'OHN and the Modal Nodes","5.00","3","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Dante Fowler","ATL","DL,LB","Drop","Figrin J'OHN and the Modal Nodes","","3","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Malcolm Jenkins","NO","DB","Claim","(Luke) The Folksmen","1.00","3","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Justin Reid","HOU","DB","Drop","(Luke) The Folksmen","","3","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Bobby Okereke","IND","LB","Claim","Kelce and the Kickers (MITCH)","2.00","3","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Robert Spillane","PIT","LB","Drop","Kelce and the Kickers (MITCH)","","3","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Donovan Peoples-Jones","CLE","WR","Claim","Figrin J'OHN and the Modal Nodes","15.00","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Myles Jack","JAX","LB","Drop","Figrin J'OHN and the Modal Nodes","","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Rodney McLeod","PHI","DB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Kenny Vaccaro","TEN","DB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Jason Pierre-Paul","TB","LB","Claim","(Luke) The Folksmen","1.00","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Matt Milano","BUF","LB","Drop","(Luke) The Folksmen","","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Harrison Bryant","CLE","TE","Claim","Kelce and the Kickers (MITCH)","2.00","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Josh Bynes","CIN","LB","Drop","Kelce and the Kickers (MITCH)","","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Vince Williams","(N/A)","LB","Claim","(REYN) Sex Bob-omb and the City","4.00","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Stephon Tuitt","PIT","DL","Drop","(REYN) Sex Bob-omb and the City","","2","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Montez Sweat","WAS","DL,LB","Claim","Figrin J'OHN and the Modal Nodes","4.00","5","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Shelby Harris","DEN","DL","Drop","Figrin J'OHN and the Modal Nodes","","5","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Rashard Higgins","CLE","WR","Claim","Figrin J'OHN and the Modal Nodes","10.00","4","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Keanu Neal","ATL","DB","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Chris Jones","KC","DL","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Neville Hewitt","NYJ","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Devin Bush","PIT","LB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Melvin Ingram","LAC","DL","Claim","(Luke) The Folksmen","1.00","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Justin Houston","IND","DL","Drop","(Luke) The Folksmen","","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Scott Miller","TB","WR","Claim","Figrin J'OHN and the Modal Nodes","10.00","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Chase Winovich","NE","DL","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Oct 29, 2020, 9:00AM","8"
"Odell Beckham","CLE","WR","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Mon Oct 26, 2020, 7:29AM","8"
"Mike Glennon","JAX","QB","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","1","1/99","Sun Oct 25, 2020, 9:00AM","7"
"Dalton Keene","NE","TE","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","1","1/99","Sun Oct 25, 2020, 9:00AM","7"
"Devine Ozigbo","JAX","RB","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Sun Oct 25, 2020, 9:00AM","7"
"Kerry Hyder","SF","DL","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Sun Oct 25, 2020, 9:00AM","7"
"Darren Fells","HOU","TE","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Sat Oct 24, 2020, 9:00AM","7"
"Marcus Maye","NYJ","DB","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Sat Oct 24, 2020, 9:00AM","7"
"Emmanuel Ogbah","MIA","DL","Claim","(REYN) Sex Bob-omb and the City","1.00","1","1/99","Fri Oct 23, 2020, 9:00AM","7"
"Danielle Hunter","MIN","DL","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Fri Oct 23, 2020, 9:00AM","7"
"Robert Spillane","PIT","LB","Claim","Kelce and the Kickers (MITCH)","1.00","1","1/99","Fri Oct 23, 2020, 9:00AM","7"
"Mike Boone","MIN","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Fri Oct 23, 2020, 9:00AM","7"
"Josey Jewell","DEN","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Fri Oct 23, 2020, 9:00AM","7"
"Nick Mullens","SF","QB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Fri Oct 23, 2020, 9:00AM","7"
"Dre Greenlaw","SF","LB","Claim","(REYN) Sex Bob-omb and the City","1.00","3","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Jamie Collins","DET","LB","Drop","(REYN) Sex Bob-omb and the City","","3","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Devontae Booker","LV","RB","Claim","(SCHX) Onederlic Life to Live","1.00","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Stephen Gostkowski","TEN","K","Drop","(SCHX) Onederlic Life to Live","","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Dez Bryant","BAL","WR","Claim","(Luke) The Folksmen","5.00","5","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Drew Sample","CIN","TE","Drop","(Luke) The Folksmen","","5","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Kenny Vaccaro","TEN","DB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Matt Prater","DET","K","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Stephon Tuitt","PIT","DL","Claim","(REYN) Sex Bob-omb and the City","1.00","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Akiem Hicks","CHI","DL","Drop","(REYN) Sex Bob-omb and the City","","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
"Jeremy McNichols","TEN","RB","Claim","(QTM) Tyler Dethklokett","1.00","2","1/99","Thu Oct 22, 2020, 9:00AM","7"
