ID,Owner,Name,Position,Start,End,Salary
5859,Keyon,A.J. Brown,WR,2019,2021,$16
830,James/Charles,A.J. Green,WR,2020,2021,$51
-1,Keyon,A.J. Johnson,LB,FA,2020,$3
1547,Schex,A.J. Klein,LB,FA,2020,$1
2227,Brett,Aaron Donald,DL,2020,2022,$4
4199,Trevor,Aaron Jones,RB,2020,2020,$195
96,Trevor,Aaron Rodgers,QB,2020,2021,$120
2822,,Adam Humphries,WR,FA,2020,
1689,Trevor,Adam Thielen,WR,2020,2021,$138
6869,Quinn,Adam Trautman,TE,2020,2022,$1
120,,Adam Vinatieri,K,FA,2020,
4078,,Adoree' Jackson,DB,FA,2020,
184,Patrick,Adrian Peterson,RB,2020,2020,$21
6828,Brett,A.J. Dillon,RB,2020,2022,$7
1186,,Akiem Hicks,DL,FA,2020,
2025,,Albert Wilson,WR,FA,2020,
986,Terence,Aldon Smith,DL/LB,FA,2020,$1
1572,,Alec Ogletree,LB,FA,2020,
6031,,Alex Barnes,RB,FA,2020,
3327,,Alex Collins,RB,FA,2020,
3433,,Alex Erickson,WR,FA,2020,
7113,,Alex Highsmith,DL/LB,FA,2020,
2617,James/Charles,Alex Singleton,LB,FA,2020,$2
661,James/Charles,Alex Smith,QB,FA,2020,$4
1262,,Alex Tanney,QB,FA,2020,
5822,,Alexander Johnson,LB,FA,2020,
5987,James/Charles,Alexander Mattison,RB,2019,2021,$13
1944,,Alfred Blue,RB,FA,2020,
1984,,Allen Hurns,WR,FA,2020,
5185,Mitch,Allen Lazard,WR,2020,2022,$40
1992,Mitch,Allen Robinson,WR,2020,2022,$135
1149,Koci/Mueller,Alshon Jeffery,WR,2020,2022,$1
4035,John/Zach,Alvin Kamara,RB,2020,2022,$215
2309,Terence,Amari Cooper,WR,2020,2021,$160
2359,,Ameer Abdullah,RB,FA,2020,
1111,Mitch,Andrew Luck,QB,2020,2022,$1
770,,Andrew Sendejo,DB,FA,2020,
829,Koci/Mueller,Andy Dalton,QB,2020,2022,$1
5915,Schex,Andy Isabella,WR,2019,2021,$4
2151,,Anthony Barr,LB,FA,2020,
6898,,Anthony Gordon,QB,FA,2020,
2062,,Anthony Hitchens,LB,FA,2020,
6878,Luke,Anthony McFarland,RB,2020,2022,$13
5013,Luke,Anthony Miller,WR,2018,2020,$9
4203,Patrick,Anthony Walker,LB,2020,2020,$1
88,,Antoine Bethea,DB,FA,2020,
6888,Schex,Antoine Winfield,DB,2020,2022,$1
536,Luke,Antonio Brown,WR,FA,2020,$8
5310,,Antonio Callaway,WR,FA,2020,
6906,Luke,Antonio Gandy-Golden,WR,2020,2022,$8
6945,Luke,Antonio Gibson,RB/WR,2020,2022,$13
2322,,Arik Armstead,DL,FA,2020,
6855,Terence,Ashtyn Davis,DB,FA,2020,$1
5130,Terence,Auden Tate,WR,2020,2022,$1
4663,Schex,Austin Ekeler,RB,2018,2020,$12
3202,Trevor,Austin Hooper,TE,2019,2021,$3
7095,,Austin MacGinnis,K,FA,2020,
6219,,Austin Seibert,K,FA,2020,
6553,Quinn,Austin Walter,RB,FA,2020,$10
1940,Patrick,Avery Williamson,LB,FA,2020,$3
3270,John/Zach,B.J. Goodson,LB,FA,2020,$1
4892,John/Zach,Baker Mayfield,QB,2018,2020,$28
7143,Mitch,Ben DiNucci,QB,FA,2020,$1
138,Quinn,Ben Roethlisberger,QB,2020,2020,$105
2348,,Benardrick McKinney,LB,FA,2020,
663,,Benjamin Watson,TE,FA,2020,
6156,Terence,Benny Snell,RB,2019,2021,$4
1764,,Benson Mayowa,DL,FA,2020,
818,,Bilal Powell,RB,FA,2020,
1979,,Blake Bortles,QB,FA,2020,
6217,,Blake Cashman,LB,FA,2020,
4571,,Blake Jarwin,TE,FA,2020,
3291,Keyon,Blake Martinez,LB,2018,2020,$9
5112,,Bo Scarbrough,RB,FA,2020,
5944,Mitch,Bobby Okereke,LB,FA,2020,$2
1233,James/Charles,Bobby Wagner,LB,2020,2021,$21
5122,Luke,Boston Scott,RB,2020,2022,$15
4967,,Bradley Chubb,LB,FA,2020,
1617,,Bradley McDougald,DB,FA,2020,
2197,Quinn,Brandin Cooks,WR,2020,2022,$50
6803,Luke,Brandon Aiyuk,WR,2020,2022,$8
3357,Luke,Brandon Allen,QB,FA,2020,$6
1034,,Brandon Bolden,RB,FA,2020,
1657,,Brandon Copeland,LB,FA,2020,
583,Patrick,Brandon Graham,DL,FA,2020,$1
6911,,Brandon Jones,DB,FA,2020,
1118,,Brandon Marshall,LB,FA,2020,
1433,,Brandon McManus,K,FA,2020,
5695,,Brandon Powell,WR,FA,2020,
2331,Schex,Breshad Perriman,WR,2020,2022,$7
4958,,Brett Maher,K,FA,2020,
5862,Quinn,Brian Burns,DL/LB,2019,2021,$1
4187,Mitch,Brian Hill,RB,2020,2022,$10
345,,Brian Hoyer,QB,FA,2020,
3669,,Brian Poole,DB,FA,2020,
6870,Terence,Bryan Edwards,WR,2020,2022,$8
5889,Terence,Bryce Love,RB,2019,2021,$1
7335,Quinn,Bryce Perkins,QB,2020,2022,$1
2327,,Bud Dupree,LB,FA,2020,
5271,,Buddy Howell,RB,FA,2020,
4081,Keyon,Budda Baker,DB,2020,2020,$22
1451,,C.J. Anderson,RB,FA,2020,
4127,,C.J. Beathard,QB,FA,2020,
743,,C.J. Mosley,LB,FA,2020,
2020,Trevor,Cairo Santos,K,FA,2020,$1
125,Brett,Calais Campbell,DL,2019,2020,$7
4981,John/Zach,Calvin Ridley,WR,2018,2020,$18
6938,James/Charles,Cam Akers,RB,2020,2022,$25
954,Brett,Cam Newton,QB,2020,2021,$89
2214,Mitch,Cameron Brate,TE,FA,2020,$2
843,Quinn,Cameron Heyward,DL,FA,2020,$1
957,Koci/Mueller,Cameron Jordan,DL,2020,2020,$4
529,Trevor,Carlos Dunlap,DL,2020,2021,$2
2257,Quinn,Carlos Hyde,RB,2020,2020,$7
5054,,Carlton Davis,DB,FA,2020,
3161,Mitch,Carson Wentz,QB,2019,2021,$180
1737,,Case Keenum,QB,FA,2020,
6786,John/Zach,CeeDee Lamb,WR,2020,2022,$16
89,,Chad Henne,QB,FA,2020,
4051,,Chad Kelly,QB,FA,2020,
1038,,Chandler Jones,LB,FA,2020,
801,,Charles Clay,TE,FA,2020,
6886,Keyon,Chase Claypool,WR,2020,2022,$4
490,Keyon,Chase Daniel,QB,FA,2020,$40
5000,Luke,Chase Edmonds,RB,2018,2020,$7
6650,,Chase McLaughlin,K,FA,2020,
6133,,Chase Winovich,DL,FA,2020,
6782,Mitch,Chase Young,DL,2020,2022,$1
1945,John/Zach,Chris Boswell,K,FA,2020,$1
4273,James/Charles,Chris Carson,RB,2020,2021,$111
2381,,Chris Conley,WR,FA,2020,
4037,Brett,Chris Godwin,WR,2019,2021,$110
5009,,Chris Herndon,TE,FA,2020,
1329,,Chris Hogan,WR,FA,2020,
717,,Chris Ivory,RB,FA,2020,
3558,,Chris Jones,DL,FA,2020,
4719,,Chris Thompson,RB,FA,2020,
4950,James/Charles,Christian Kirk,WR,2018,2020,$9
1905,Quinn,Christian Kirksey,LB,2020,2022,$3
4034,John/Zach,Christian McCaffrey,RB,2020,2020,$365
4224,Terence,Chuck Clark,DB,FA,2020,$1
5842,Trevor,Clelin Ferrell,DL,2019,2021,$1
6820,Keyon,Clyde Edwards-Helaire,RB,2020,2022,$25
1974,,Cody Parkey,K,FA,2020,
1144,Koci/Mueller,Cole Beasley,WR,FA,2020,$1
6826,Brett,Cole Kmet,TE,2020,2022,$2
6857,Quinn,Collin Johnson,WR,2020,2022,$1
533,Quinn,Colt McCoy,QB,FA,2020,$5
4039,Trevor,Cooper Kupp,WR,2020,2020,$160
4574,,Cooper Rush,QB,FA,2020,
1535,Trevor,Cordarrelle Patterson,WR,2019,2020,$2
4651,,Corey Clement,RB,FA,2020,
4036,Schex,Corey Davis,WR,2020,2022,$2
3747,,Cory Littleton,LB,FA,2020,
5045,,Courtland Sutton,WR,FA,2020,
4082,Brett,Curtis Samuel,WR,2020,2021,$28
6790,John/Zach,D'Andre Swift,RB,2020,2022,$25
6694,,D'Ernest Johnson,RB,FA,2020,
4111,,D'Onta Foreman,RB,FA,2020,
4998,,DaeSean Hamilton,WR,FA,2020,
3294,Koci/Mueller,Dak Prescott,QB,2019,2021,$107
5022,John/Zach,Dallas Goedert,TE,2018,2020,$4
7082,,Dalton Keene,TE,FA,2020,
5001,Koci/Mueller,Dalton Schultz,TE,FA,2020,$1
4029,Patrick,Dalvin Cook,RB,2020,2021,$265
2335,,Damarious Randall,DB,FA,2020,
5890,James/Charles,Damien Harris,RB,2019,2021,$7
1833,Quinn,Damien Williams,RB,2020,2022,$20
2673,,Damiere Byrd,WR,FA,2020,
6549,,Damion Willis,WR,FA,2020,
4741,,Dan Arnold,TE,FA,2020,
899,,Dan Bailey,K,FA,2020,
5095,John/Zach,Daniel Carlson,K,FA,2020,$1
5870,Luke,Daniel Jones,QB,2019,2021,$19
2022,Keyon,Daniel Sorensen,DB,FA,2020,$2
2393,,Danielle Hunter,DL,FA,2020,
491,,Danny Amendola,WR,FA,2020,
1127,,Danny Trevathan,LB,FA,2020,
2308,,Dante Fowler,DL/LB,FA,2020,
4992,,Dante Pettis,WR,FA,2020,
4718,,Dare Ogunbowale,RB,FA,2020,
4990,Schex,Shaquille Leonard,LB,2018,2020,$1
6149,Luke,Darius Slayton,WR,2020,2022,$25
7090,James/Charles,Darnell Mooney,WR,2020,2022,$1
6210,,Darnell Savage,DB,FA,2020,
5549,,Darrel Williams,RB,FA,2020,
5916,James/Charles,Darrell Henderson,RB,2019,2021,$13
1592,,Darren Fells,TE,FA,2020,
246,,Darren Sproles,RB,FA,2020,
2505,Schex,Darren Waller,TE,2019,2021,$3
6519,,Darrius Shepherd,WR,FA,2020,
7064,Terence,Darrynton Evans,RB,2020,2022,$7
6178,,Darwin Thompson,RB,FA,2020,
2133,Keyon,Davante Adams,WR,2020,2020,$190
6450,,David Blough,QB,FA,2020,
362,Patrick,David Johnson,RB,2020,2021,$96
5892,Mitch,David Montgomery,RB,2019,2021,$25
4274,,David Moore,WR,FA,2020,
4033,,David Njoku,TE,FA,2020,
6912,,Davion Taylor,LB,FA,2020,
5906,Patrick,Dawson Knox,TE,2019,2021,$2
3276,,De'Vondre Campbell,LB,FA,2020,
1426,Keyon,DeAndre Hopkins,WR,2020,2022,$175
3300,Patrick,DeAndre Washington,RB,2020,2022,$1
4146,Koci/Mueller,Dede Westbrook,WR,2020,2022,$2
2015,,Dee Ford,DL,FA,2020,
5872,Brett,Deebo Samuel,WR,2019,2021,$8
6931,Terence,DeeJay Dallas,RB,2020,2022,$4
3172,Quinn,DeForest Buckner,DL,2020,2022,$1
3222,Koci/Mueller,Deion Jones,LB,2020,2022,$10
284,,Delanie Walker,TE,FA,2020,
2064,Schex,DeMarcus Lawrence,DL,FA,2020,$1
3286,,Demarcus Robinson,WR,FA,2020,
1052,Quinn,Demario Davis,LB,2018,2020,$3
560,,Demaryius Thomas,WR,FA,2020,
1619,,Demetrius Harris,TE,FA,2020,
6849,Schex,Denzel Mims,WR,2020,2022,$4
4964,,Denzel Ward,DB,FA,2020,
5101,,Deon Cain,WR,FA,2020,
-1,John/Zach,Deonte Harris,WR,FA,2020,$15
4065,,Derek Barnett,DL,FA,2020,
2028,Schex,Derek Carr,QB,2020,2022,$38
3198,James/Charles,Derrick Henry,RB,2020,2021,$255
4949,,Derrius Guice,RB,FA,2020,
4971,,Derwin James,DB,FA,2020,
147,,DeSean Jackson,WR,FA,2020,
4017,Brett,Deshaun Watson,QB,2020,2022,$220
4216,,Desmond King,DB,FA,2020,
2319,James/Charles,DeVante Parker,WR,2018,2020,$11
6956,Koci/Mueller,Devin Asiasi,TE,2020,2022,$1
5843,,Devin Bush,LB,FA,2020,
6847,Brett,Devin Duvernay,WR,2020,2021,$2
2346,,Devin Funchess,WR,FA,2020,
6130,Mitch,Devin Singletary,RB,2019,2021,$13
1783,,Devin Smith,WR,FA,2020,
6119,Mitch,Devin White,LB,2019,2021,$1
6068,,Devine Ozigbo,RB,FA,2020,
6595,,Devlin Hodges,QB,FA,2020,
2168,Mitch,Devonta Freeman,RB,FA,2020,$5
3209,Schex,Devontae Booker,RB,FA,2020,$1
6153,,Dexter Williams,RB,FA,2020,
574,,Dez Bryant,WR,FA,2020,
788,Trevor,Dion Lewis,RB,2020,2020,$2
5937,Schex,Diontae Johnson,WR,2019,2021,$2
4951,Patrick,DJ Chark,WR,2018,2020,$5
4983,John/Zach,DJ Moore,WR,2018,2020,$9
5846,Patrick,DK Metcalf,WR,2019,2021,$16
4352,,Donald Payne,LB,FA,2020,
6824,,Donovan Peoples-Jones,WR,FA,2020,
1971,,Donte Moncrief,WR,FA,2020,
5536,,Dontrell Hilliard,RB,FA,2020,
1195,,Doug Martin,RB,FA,2020,
6056,James/Charles,Dre Greenlaw,LB,FA,2020,$1
289,John/Zach,Drew Brees,QB,2020,2020,$120
5854,Keyon,Drew Lock,QB,2019,2021,$3
6001,,Drew Sample,TE,FA,2020,
2382,Brett,Duke Johnson,RB,2019,2020,$45
3846,,Duke Williams,WR,FA,2020,
5845,James/Charles,Dwayne Haskins,QB,2019,2021,$38
5841,,Ed Oliver,DL,FA,2020,
188,,Eli Manning,QB,FA,2020,
3197,James/Charles,Emmanuel Ogbah,DL,FA,2020,$1
538,Trevor,Emmanuel Sanders,WR,2020,2021,$15
6951,Terence,Eno Benjamin,RB,2020,2022,$2
5323,,Equanimeous St. Brown,WR,FA,2020,
2118,Patrick,Eric Ebron,TE,2020,2022,$1
2350,Patrick,Eric Kendricks,LB,2020,2020,$1
1590,,Eric Reid,DB,FA,2020,
290,,Eric Weddle,DB,FA,2020,
4413,Brett,Eric Wilson,LB,FA,2020,$1
4066,,Evan Engram,TE,FA,2020,
605,,Everson Griffen,DL,FA,2020,
3164,Luke,Ezekiel Elliott,RB,2019,2021,$290
5332,John/Zach,Foyesade Oluokun,LB,FA,2020,$1
2368,,Frank Clark,DL,FA,2020,
11573,Patrick,Frank Gore,RB,2020,2020,$6
5041,Keyon,Fred Warner,LB,2019,2021,$1
6943,Keyon,Gabe Davis,WR,2020,2022,$1
6011,Koci/Mueller,Gardner Minshew,QB,2019,2021,$3
2229,Trevor,Garrett Gilbert,QB,FA,2020,$1
6045,,Gary Jennings,WR,FA,2020,
4217,Terence,George Kittle,TE,2020,2021,$135
4089,Quinn,Gerald Everett,TE,FA,2020,$2
5894,,Germaine Pratt,LB,FA,2020,
3503,,Geronimo Allison,WR,FA,2020,
1386,Keyon,Giovani Bernard,RB,2020,2022,$4
642,Patrick,Golden Tate,WR,2019,2021,$20
2592,John/Zach,Grady Jarrett,DL,FA,2020,$1
5970,,Greg Dortch,WR,FA,2020,
58,,Greg Olsen,TE,FA,2020,
6744,Mitch,Greg Ward,WR,FA,2020,$2
1266,Trevor,Greg Zuerlein,K,2018,2020,$2
5248,Koci/Mueller,Gus Edwards,RB,2019,2021,$2
2135,,Ha Ha Clinton-Dix,DB,FA,2020,
4063,,Haason Reddick,LB,FA,2020,
5886,,Hakeem Butler,WR/TE,FA,2020,
5030,,Harold Landry,LB,FA,2020,
6850,Mitch,Harrison Bryant,TE,FA,2020,$2
4227,Trevor,Harrison Butker,K,2019,2021,$3
1213,Quinn,Harrison Smith,DB,FA,2020,$2
4426,Schex,Harvey Langi,LB,FA,2020,$1
4973,Luke,Hayden Hurst,TE,2020,2022,$16
6789,Koci/Mueller,Henry Ruggs,WR,2020,2022,$8
3214,Patrick,Hunter Henry,TE,2018,2020,$6
5955,Patrick,Hunter Renfrow,WR,2019,2021,$8
4995,Koci/Mueller,Ian Thomas,TE,2020,2022,$2
6126,James/Charles,Irv Smith,TE,2019,2021,$2
7085,,Isaiah Coulter,WR,FA,2020,
6781,James/Charles,Isaiah Simmons,LB,2020,2022,$1
5004,,Ito Smith,RB,FA,2020,
3664,Terence,J.D. McKissic,RB,2020,2022,$1
856,Luke,J.J. Watt,DL,2019,2021,$10
6806,Terence,J.K. Dobbins,RB,2020,2022,$25
5006,,J'Mon Moore,WR,FA,2020,
4056,Mitch,Jabrill Peppers,DB,2020,2022,$5
6139,,Jace Sternberger,TE,FA,2020,
1706,,Jack Doyle,TE,FA,2020,
6823,Trevor,Jacob Eason,QB,2020,2022,$2
4421,,Jacob Hollister,TE,FA,2020,
3257,Brett,Jacoby Brissett,QB,2019,2021,$11
1947,,Jadeveon Clowney,DL,FA,2020,
6179,,Jahlani Tavai,LB,FA,2020,
4195,,Jake Elliott,K,FA,2020,
7084,Patrick,Jake Luton,QB,2020,2022,$2
3342,John/Zach,Jakeem Grant,WR,FA,2020,$20
5947,Luke,Jakobi Meyers,WR,FA,2020,$3
6421,Patrick,Jalen Guyton,WR,FA,2020,$1
5911,,Jalen Hurd,WR,FA,2020,
6904,Terence,Jalen Hurts,QB,2020,2022,$8
