ID,Owner,Name,Position,Start,End,Salary
5859,Koci/Mueller,A.J. Brown,WR,2023,2023,$210
10863,,A.T. Perry,WR,FA,2023,
2227,Luke,Aaron Donald,DL,FA,2023,$1
4199,James/Charles,Aaron Jones,RB,2023,2023,$100
96,Brett,Aaron Rodgers,QB,2023,2024,$135
1689,Patrick,Adam Thielen,WR,2023,2025,$7
8289,Mike,Aidan Hutchinson,DL,2022,2024,$1
10866,Keyon,Aidan O'Connell,QB,2023,2025,$2
6828,Patrick,A.J. Dillon,RB,2023,2023,$56
8142,James/Charles,Alec Pierce,WR,2022,2024,$8
4118,Patrick,Alex Anzalone,LB,2023,2023,$1
7113,Luke,Alex Highsmith,LB,2023,2024,$2
2617,Schex,Alex Singleton,LB,2023,2025,$1
5987,James/Charles,Alexander Mattison,RB,2022,2024,$40
5185,Jason,Allen Lazard,WR,2022,2024,$26
1992,,Allen Robinson,WR,FA,2023,
4035,Schex,Alvin Kamara,RB,2023,2024,$40
2309,Mike,Amari Cooper,WR,2022,2024,$55
7540,,Amari Rodgers,WR,FA,2023,
7547,Justin,Amon-Ra St. Brown,WR,2021,2023,$8
7698,Luke,Andre Cisco,DB,2023,2024,$1
10226,Mike,Andrei Iosivas,WR,2023,2025,$1
829,,Andy Dalton,QB,FA,2023,
9229,Keyon,Anthony Richardson,QB,2023,2025,$30
6888,Mitch,Antoine Winfield,DB,2023,2025,$3
6945,Keyon,Antonio Gibson,RB,2023,2025,$8
4663,Justin,Austin Ekeler,RB,2023,2023,$201
3202,,Austin Hooper,TE,FA,2023,
6485,Justin,Azeez Al-Shaair,LB,FA,2023,$1
8157,Mitch,Bailey Zappe,QB,FA,2023,$4
4892,Patrick,Baker Mayfield,QB,2022,2024,$65
9509,Quinn,Bijan Robinson,RB,2023,2025,$25
6217,Schex,Blake Cashman,LB,FA,2023,$2
11058,,Blake Grupe,K,FA,2023,
5944,Justin,Bobby Okereke,LB,2022,2024,$1
1233,Brett,Bobby Wagner,LB,2023,2023,$7
8343,Patrick,Boye Mafe,DL,FA,2023,$1
4967,Keyon,Bradley Chubb,LB,FA,2023,$1
2197,James/Charles,Brandin Cooks,WR,2023,2024,$20
6803,Mike,Brandon Aiyuk,WR,2023,2025,$50
1108,Schex,Jerrell Freeman,K,FA,2023,$2
1433,Quinn,Brandon McManus,K,FA,2023,$1
5695,Mike,Brandon Powell,WR,FA,2023,$1
5121,,Braxton Berrios,WR,FA,2023,
8155,Koci/Mueller,Breece Hall,RB,2022,2024,$25
4958,,Brett Maher,K,FA,2023,
6037,,Brett Rypien,QB,FA,2023,
7568,Quinn,Brevin Jordan,TE,FA,2023,$1
10905,Luke,Brian Branch,DB,2023,2025,$1
5862,Quinn,Brian Burns,DL,2022,2024,$1
345,,Brian Hoyer,QB,FA,2023,
8154,Justin,Brian Robinson,RB,2022,2024,$13
8183,Keyon,Brock Purdy,QB,2023,2024,$88
9228,Keyon,Bryce Young,QB,2023,2025,$30
4081,Schex,Budda Baker,DB,2022,2024,$6
10917,,Byron Young,LB,FA,2023,
4127,Justin,C.J. Beathard,QB,FA,2023,$22
74,,Mike Adams,DB,FA,2023,
743,,C.J. Mosley,LB,FA,2023,
9758,Brett,C.J. Stroud,QB,2023,2025,$30
8111,Justin,Cade Otton,TE,2022,2024,$1
8258,,Cade York,K,FA,2023,
8125,,Calvin Austin,WR,FA,2023,
4981,Schex,Calvin Ridley,WR,2022,2024,$42
6938,,Cam Akers,RB,FA,2023,
8259,Mitch,Cameron Dicker,K,FA,2023,$1
843,,Cameron Heyward,DL,FA,2023,
957,,Cameron Jordan,DL,FA,2023,
7715,Keyon,Cam Bynum,DB,FA,2023,$2
