Source,Year,EspnId,Owner,Name,Position,Start,End,Salary
dynastyData.xml,2009,10768,,Danny Ware,RB,FA,2009,1
dynastyData.xml,2009,10458,,Darrelle Revis,DB,FA,2009,1
dynastyData.xml,2009,2164,,Darren Howard,DL,FA,2009,1
dynastyData.xml,2009,11238,,Darren McFadden,RB,2008,2010,187
dynastyData.xml,2009,1203,,Darren Sharper,DB,FA,2009,1
dynastyData.xml,2009,8544,,Darren Sproles,RB,2009,2011,118
dynastyData.xml,2009,12570,,Darrius Heyward-Bey,WR,2009,2011,14
dynastyData.xml,2009,1716,,David Akers,K,FA,2009,1
dynastyData.xml,2009,12459,,David Buehler,K,FA,2009,1
dynastyData.xml,2009,3636,,David Garrard,QB,2008,2010,16
dynastyData.xml,2009,10491,,David Harris,LB,FA,2009,1
dynastyData.xml,2009,11678,,Davone Bess,WR,FA,2009,1
dynastyData.xml,2009,9613,,DeAngelo Williams,RB,2009,2011,145
dynastyData.xml,2009,8426,,DeMarcus Ware,LB,2008,2010,37
dynastyData.xml,2009,9619,,DeMeco Ryans,LB,FA,2009,1
dynastyData.xml,2009,12557,,Deon Butler,WR,2009,2011,5
dynastyData.xml,2009,8627,,Derek Anderson,QB,FA,2009,1
dynastyData.xml,2009,10692,,Derek Stanley,WR,FA,2009,1
dynastyData.xml,2009,1263,,Derrick Mason,WR,2009,2009,5
dynastyData.xml,2009,5760,,Derrick Ward,RB,2009,2011,31
dynastyData.xml,2009,12602,,Derrick Williams,WR,2009,2011,1
dynastyData.xml,2009,11283,,DeSean Jackson,WR,2008,2010,16
dynastyData.xml,2009,5575,,Devery Henderson,WR,FA,2009,1
dynastyData.xml,2009,9643,,Devin Hester,WR,2009,2011,40
dynastyData.xml,2009,11268,,Devin Thomas,WR,FA,2009,2
dynastyData.xml,2009,9716,,Domenik Hixon,WR,FA,2009,12
dynastyData.xml,2009,12489,,Donald Brown,RB,2009,2011,28
dynastyData.xml,2009,1966,,Donald Driver,WR,2008,2010,8
dynastyData.xml,2009,11267,,Donnie Avery,WR,2008,2010,3
dynastyData.xml,2009,1753,,Donovan McNabb,QB,2009,2010,33
dynastyData.xml,2009,,,Drew Bennett,WR,FA,2009,1
dynastyData.xml,2009,2580,,Drew Brees,QB,2009,2010,171
dynastyData.xml,2009,11264,,Dustin Keller,TE,2009,2011,5
dynastyData.xml,2009,10467,,Dwayne Bowe,WR,2009,2011,90
dynastyData.xml,2009,3539,,Dwight Freeney,DL,FA,2009,1
dynastyData.xml,2009,11304,,Earl Bennett,WR,2009,2009,19
dynastyData.xml,2009,4950,,Earnest Graham,RB,2009,2010,8
dynastyData.xml,2009,11276,,Eddie Royal,WR,2008,2010,13
dynastyData.xml,2009,1755,,Edgerrin James,RB,2009,2009,2
dynastyData.xml,2009,5526,,Eli Manning,QB,2008,2010,24
dynastyData.xml,2009,8498,,Ellis Hobbs,DB,2008,2010,16
dynastyData.xml,2009,9712,,Elvis Dumervil,DL,FA,2009,1
dynastyData.xml,2009,5645,,Ernest Wilford,WR,FA,2009,1
dynastyData.xml,2009,11256,,Felix Jones,RB,2008,2009,47
dynastyData.xml,2009,8479,,Frank Gore,RB,2008,2010,184
dynastyData.xml,2009,10195,,Fred Jackson,RB,2009,2011,1
dynastyData.xml,2009,1430,,Fred Taylor,RB,2009,2009,20
dynastyData.xml,2009,10449,,Gaines Adams,DL,2009,2009,9
dynastyData.xml,2009,11543,,Garrett Hartley,K,FA,2009,1
dynastyData.xml,2009,10537,,Garrett Wolfe,RB,2008,2010,2
dynastyData.xml,2009,5661,,Gibril Wilson,DB,FA,2009,1
dynastyData.xml,2009,12491,,Glen Coffee,RB,2009,2011,1
dynastyData.xml,2009,9495,,Greg Camarillo,WR,2009,2011,1
dynastyData.xml,2009,1445,,Greg Ellis,DL,FA,2009,1
dynastyData.xml,2009,9638,,Greg Jennings,WR,2008,2010,36
dynastyData.xml,2009,10475,,Greg Olsen,TE,2009,2011,35
dynastyData.xml,2009,12586,,Hakeem Nicks,WR,2009,2011,28
dynastyData.xml,2009,8444,,Heath Miller,TE,2009,2009,11
dynastyData.xml,2009,1494,,Hines Ward,WR,2009,2009,50
dynastyData.xml,2009,10180,,Hiram Eugene,DB,FA,2009,1
dynastyData.xml,2009,8458,,J.J. Arrington,RB,FA,2009,1
dynastyData.xml,2009,10517,,Jacoby Jones,WR,FA,2009,1
dynastyData.xml,2009,1693,,Jake Delhomme,QB,2009,2009,5
dynastyData.xml,2009,11307,,Jamaal Charles,RB,2008,2010,4
dynastyData.xml,2009,2136,,Jamal Lewis,RB,2009,2009,80
dynastyData.xml,2009,10446,,JaMarcus Russell,QB,2009,2011,14
dynastyData.xml,2009,12493,,James Davis,RB,2009,2011,7
dynastyData.xml,2009,1219,,James Farrior,LB,2009,2011,2
dynastyData.xml,2009,11275,,James Hardy,WR,2008,2010,12
dynastyData.xml,2009,4433,,James Harrison,LB,2009,2011,16
dynastyData.xml,2009,12454,,James Laurinaitis,LB,2009,2011,9
dynastyData.xml,2009,5651,,Jared Allen,DL,2009,2011,10
dynastyData.xml,2009,12564,,Jarett Dillard,WR,FA,2009,5
dynastyData.xml,2009,8440,,Jason Campbell,QB,2008,2009,9
dynastyData.xml,2009,4527,,Jason Witten,TE,2008,2010,134
dynastyData.xml,2009,12520,,Javon Ringer,RB,FA,2009,1
dynastyData.xml,2009,9597,,Jay Cutler,QB,2008,2010,105
dynastyData.xml,2009,12579,,Jeremy Maclin,WR,2009,2011,55
dynastyData.xml,2009,3542,,Jeremy Shockey,TE,2009,2009,8
dynastyData.xml,2009,9665,,Jerious Norwood,RB,2008,2010,8
dynastyData.xml,2009,11325,,Jermichael Finley,TE,FA,2009,1
dynastyData.xml,2009,9731,,Jerome Harrison,RB,2009,2011,1
dynastyData.xml,2009,5633,,Jerricho Cotchery,WR,2008,2010,36
dynastyData.xml,2009,9266,,Jim Leonhard,DB,FA,2009,1
dynastyData.xml,2009,11252,,Joe Flacco,QB,2008,2010,5
dynastyData.xml,2009,982,,Joe Nedney,K,FA,2009,1
dynastyData.xml,2009,751,,Joey Galloway,WR,2009,2009,2
dynastyData.xml,2009,1826,,Joey Porter,LB,2009,2009,2
dynastyData.xml,2009,2144,,John Abraham,DL,2009,2011,2
dynastyData.xml,2009,11272,,John Carlson,TE,2009,2011,7
dynastyData.xml,2009,43,,John Carney,K,FA,2009,1
dynastyData.xml,2009,10543,,Johnnie Lee Higgins,WR,2009,2009,105
dynastyData.xml,2009,12678,,Johnny Knox,WR,FA,2009,1
dynastyData.xml,2009,10469,,Jon Beason,LB,2008,2010,3
dynastyData.xml,2009,11247,,Jonathan Stewart,RB,2008,2010,26
dynastyData.xml,2009,5537,,Jonathan Vilma,LB,FA,2009,1
dynastyData.xml,2009,11270,,Jordy Nelson,WR,FA,2009,1
dynastyData.xml,2009,9616,,Joseph Addai,RB,2009,2011,85
dynastyData.xml,2009,9270,,Josh Cribbs,WR,2009,2009,35
dynastyData.xml,2009,11394,,Josh Johnson,QB,FA,2009,1
dynastyData.xml,2009,11408,,Josh Morgan,WR,2009,2011,10
dynastyData.xml,2009,5662,,Josh Scobee,K,FA,2009,1
dynastyData.xml,2009,10499,,Josh Wilson,DB,2009,2009,58
dynastyData.xml,2009,12571,,Juaquin Iglesias,WR,2009,2011,3
dynastyData.xml,2009,12649,,Julian Edelman,WR,2009,2009,3
dynastyData.xml,2009,5568,,Julius Jones,RB,2009,2011,17
dynastyData.xml,2009,3530,,Julius Peppers,DL,2009,2011,15
dynastyData.xml,2009,4554,,Justin Fargas,RB,2009,2011,6
dynastyData.xml,2009,11467,,Justin Forsett,RB,FA,2009,1
dynastyData.xml,2009,4601,,Justin Gage,WR,2009,2011,1
dynastyData.xml,2009,8488,,Justin Tuck,DL,2009,2011,6
dynastyData.xml,2009,5558,,Karlos Dansby,LB,2009,2011,1
dynastyData.xml,2009,2161,,Keith Bulluck,LB,FA,2009,1
dynastyData.xml,2009,5531,,Kellen Winslow,TE,2008,2010,63
dynastyData.xml,2009,4523,,Kelley Washington,WR,FA,2009,1
dynastyData.xml,2009,12556,,Kenny Britt,WR,2009,2011,6
dynastyData.xml,2009,734,,Kerry Collins,QB,2009,2009,3
dynastyData.xml,2009,10596,,Kevin Boss,TE,2009,2011,1
dynastyData.xml,2009,4532,,Kevin Curtis,WR,2009,2009,9
dynastyData.xml,2009,12588,,Kevin Ogletree,WR,FA,2009,1
dynastyData.xml,2009,11298,,Kevin Smith,RB,2008,2010,7
dynastyData.xml,2009,4713,,Kevin Walter,WR,2009,2011,42
dynastyData.xml,2009,12516,,Knowshon Moreno,RB,2009,2011,28
dynastyData.xml,2009,1981,,Kris Brown,K,FA,2009,1
dynastyData.xml,2009,1682,,Kurt Warner,QB,2009,2009,90
dynastyData.xml,2009,8520,,Kyle Orton,QB,2009,2011,23
dynastyData.xml,2009,4519,,L.J. Smith,TE,FA,2009,2
dynastyData.xml,2009,2553,,LaDainian Tomlinson,RB,2009,2009,210
dynastyData.xml,2009,3584,,Ladell Betts,RB,2009,2011,1
dynastyData.xml,2009,10490,,LaMarr Woodley,DL/LB,FA,2009,5
dynastyData.xml,2009,9400,,Lance Moore,WR,2009,2011,22
dynastyData.xml,2009,12747,,Lardarius Webb,DB,FA,2009,1
dynastyData.xml,2009,5528,,Larry Fitzgerald,WR,2008,2010,145
dynastyData.xml,2009,4485,,Larry Johnson,RB,2009,2009,55
dynastyData.xml,2009,2209,,Laveranues Coles,WR,2009,2009,25
dynastyData.xml,2009,3413,,Lawrence Tynes,K,FA,2009,1
dynastyData.xml,2009,10580,,Le'Ron McClain,RB,FA,2009,1
dynastyData.xml,2009,5538,,Lee Evans,WR,2009,2009,55
dynastyData.xml,2009,9631,,LenDale White,RB,2008,2010,16
dynastyData.xml,2009,11245,,Leodis McKelvin,DB,FA,2009,14
dynastyData.xml,2009,9703,,Leon Washington,RB,2008,2009,37
dynastyData.xml,2009,12514,,LeSean McCoy,RB,2009,2009,28
