ID,Owner,Name,Position,Start,End,Salary
13983,John/Zach,A.J. Green,WR,2014,2016,$180
16716,,Aaron Donald,DL,FA,2016,
8439,Syed/Terence,Aaron Rodgers,QB,2016,2018,$270
17756,Syed/Terence,Adam Humphries,WR,FA,2016,$1
8421,Patrick,Adam Jones,DB,2015,2017,$10
17178,Syed/Terence,Adam Thielen,WR,FA,2016,$1
1097,Daniel,Adam Vinatieri,K,2016,2016,$2
13965,,Adrian Clayborn,DL,FA,2016,
10452,John/Zach,Adrian Peterson,RB,FA,2016,$5
16810,Koci/Mueller,AJ McCarron,QB,2016,2018,$1
14984,Trevor,Akiem Hicks,DL,FA,2016,$1
15806,Mitch,Alec Ogletree,LB,2014,2016,$5
17933,Quinn,Alex Collins,RB,FA,2016,$1
15976,,Alex Okafor,DL,FA,2016,
8416,John/Zach,Alex Smith,QB,2014,2016,$40
17134,Daniel,Alfred Blue,RB,2014,2016,$3
15009,Brett/Luke,Alfred Morris,RB,2016,2017,$25
17163,Koci/Mueller,Allen Hurns,WR,2015,2017,$1
16799,Keyon,Allen Robinson,WR,2014,2016,$5
14912,Koci/Mueller,Alshon Jeffery,WR,2016,2016,$160
17677,Schex/Jeff,Amari Cooper,WR,2015,2017,$17
17580,Quinn,Ameer Abdullah,RB,2015,2017,$27
15893,Daniel,Andre Ellington,RB,FA,2016,$3
4461,,Andre Johnson,WR,FA,2016,
13226,Quinn,Andre Roberts,WR,FA,2016,$1
16889,,Andre Williams,RB,FA,2016,
13958,Quinn,Andrew Hawkins,WR,FA,2016,$1
14874,Mitch,Andrew Luck,QB,2016,2017,$240
14012,Koci/Mueller,Andy Dalton,QB,2015,2017,$68
17937,,Andy Janovich,RB,FA,2016,
4512,Patrick,Anquan Boldin,WR,2016,2016,$5
16711,,Anthony Barr,LB,FA,2016,
9793,John/Zach,Antoine Bethea,DB,2015,2017,$1
13158,,Antone Smith,RB,FA,2016,
13934,Schex/Jeff,Antonio Brown,WR,2016,2016,$310
5362,Keyon,Antonio Gates,TE,2016,2016,$6
12497,,Arian Foster,RB,FA,2016,
17861,Trevor,Austin Hooper,TE,2016,2018,$4
16795,,Austin Seferian-Jenkins,TE,FA,2016,
17254,,Avery Williamson,LB,FA,2016,
13338,James,Barry Church,DB,2016,2018,$5
17229,Quinn,Bashaud Breeland,DB,FA,2016,$1
5536,Brett/Luke,Ben Roethlisberger,QB,2016,2016,$235
17623,Syed/Terence,Benardrick McKinney,LB,FA,2016,$5
16055,John/Zach,Benjamin Cunningham,RB,2015,2017,$1
5557,,Benjamin Watson,TE,FA,2016,
14129,Trevor,Bilal Powell,RB,2016,2017,$15
16794,,Bishop Sankey,RB,FA,2016,
13987,Quinn,Blaine Gabbert,QB,FA,2016,$1
15058,,Blair Walsh,K,FA,2016,
16724,John/Zach,Blake Bortles,QB,2014,2016,$19
15501,,Bobby Rainey,RB,FA,2016,
14979,Syed/Terence,Bobby Wagner,LB,2016,2016,$20
16269,Mitch,Bradley McDougald,DB,FA,2016,$1
17143,,Branden Oliver,RB,FA,2016,
16731,Syed/Terence,Brandin Cooks,WR,2014,2016,$19
15478,,Brandon Bolden,RB,FA,2016,
17145,,Brandon Coleman,WR,FA,2016,
13239,Koci/Mueller,Brandon Graham,DL,FA,2016,$1
12576,Mitch,Brandon LaFell,WR,2016,2016,$5
15002,Trevor,Brandon Marshall (DEN),LB,2015,2017,$3
9705,Trevor,Brandon Marshall (NYJ),WR,2015,2016,$67
17171,Trevor,Brandon McManus,K,2016,2018,$2
12597,Quinn,Brandon Tate,WR,FA,2016,$2
17864,Brett/Luke,Braxton Miller,WR,2016,2018,$5
17674,Patrick,Breshad Perriman,WR,2016,2018,$3
12477,James,Brian Hoyer,QB,FA,2016,$1
12439,,Brian Orakpo,LB,FA,2016,
14914,James,Brian Quick,WR,FA,2016,$1
14879,Syed/Terence,Brock Osweiler,QB,2014,2016,$1
16946,,Bruce Ellington,WR,FA,2016,
17434,Keyon,Bryce Petty,QB,FA,2016,$18
17479,Syed/Terence,Byron Jones,DB,FA,2016,$2
16040,Daniel,C.J. Anderson,RB,2014,2016,$3
16766,Koci/Mueller,C.J. Fiedorowicz,TE,FA,2016,$3
16720,Brett/Luke,C.J. Mosley (BAL),LB,2014,2016,$1
17869,Trevor,C.J. Prosise,RB,2016,2018,$13
13203,Trevor,C.J. Spiller,RB,2016,2016,$1
17564,,C.J. Uzomah,TE,FA,2016,
17172,James,Cairo Santos,K,FA,2016,$1
11284,Syed/Terence,Calais Campbell,DL,FA,2016,$2
15918,Schex/Jeff,Caleb Sturgis,K,FA,2016,$1
13994,James,Cam Newton,QB,2016,2018,$341
17704,Schex/Jeff,Cameron Artis-Payne,RB,2016,2018,$4
17784,Keyon,Cameron Brate,TE,FA,2016,$8
13971,,Cameron Jordan,DL,FA,2016,
17750,Keyon,Cameron Meredith,WR,FA,2016,$9
12417,Trevor,Cameron Wake,DL,FA,2016,$1
