ID,Owner,Name,Position,Start,End,Salary
830,Daniel,A.J. Green,WR,2017,2019,$190
1547,,A.J. Klein,LB,FA,2017,
2227,Daniel,Aaron Donald,DL,2017,2017,$1
4199,Schex/Jeff,Aaron Jones,RB,2017,2019,$2
96,Syed/Terence,Aaron Rodgers,QB,2016,2018,$270
2822,,Adam Humphries,WR,FA,2017,
657,,Adam Jones,DB,FA,2017,
4085,Syed/Terence,Adam Shaheen,TE,2017,2019,$1
1689,Koci/Mueller,Adam Thielen,WR,2017,2019,$7
120,Daniel,Adam Vinatieri,K,2017,2017,$1
4078,Syed/Terence,Adoree' Jackson,DB,2017,2019,$1
961,,Adrian Clayborn,DL,FA,2017,
184,Trevor,Adrian Peterson,RB,2017,2017,$40
1895,Koci/Mueller,AJ McCarron,QB,2016,2018,$1
1186,,Akiem Hicks,DL,FA,2017,
1572,Quinn,Alec Ogletree,LB,2017,2017,$40
4118,,Alex Anzalone,LB,FA,2017,
3327,James/Charles,Alex Collins,RB,FA,2017,$30
1578,,Alex Okafor,DL,FA,2017,
268,Quinn,Alex Smith,QB,2017,2017,$32
1944,,Alfred Blue,RB,FA,2017,
1170,Brett/Luke,Alfred Morris,RB,2016,2017,$25
1984,Koci/Mueller,Allen Hurns,WR,2015,2017,$1
1992,James/Charles,Allen Robinson,WR,2017,2019,$75
1149,Koci/Mueller,Alshon Jeffery,WR,2017,2019,$90
4035,Keyon,Alvin Kamara,RB,2017,2019,$12
4139,,Amara Darboh,WR,FA,2017,
2309,Syed/Terence,Amari Cooper,WR,2015,2017,$17
2359,Quinn,Ameer Abdullah,RB,2015,2017,$27
1575,,Andre Ellington,RB,FA,2017,
92,,Andre Johnson,WR,FA,2017,
627,,Andre Roberts,WR,FA,2017,
2088,,Andre Williams,RB,FA,2017,
831,,Andrew Hawkins,WR,FA,2017,
1111,Syed/Terence,Andrew Luck,QB,FA,2017,$1
770,,Andrew Sendejo,DB,FA,2017,
829,Koci/Mueller,Andy Dalton,QB,2015,2017,$68
3332,,Andy Janovich,RB,FA,2017,
655,Trevor,Anquan Boldin,WR,2017,2017,$2
2151,Trevor,Anthony Barr,LB,FA,2017,$1
3358,,Anthony Zettel,DL,FA,2017,
88,,Antoine Bethea,DB,FA,2017,
609,,Antone Smith,RB,FA,2017,
536,Patrick,Antonio Brown,WR,2017,2017,$350
322,Patrick,Antonio Gates,TE,2017,2017,$1
4119,Schex/Jeff,ArDarius Stewart,WR,2017,2019,$5
669,,Arian Foster,RB,FA,2017,
4663,Koci/Mueller,Austin Ekeler,RB,FA,2017,$40
3202,Trevor,Austin Hooper,TE,2016,2018,$4
2222,Patrick,Austin Seferian-Jenkins,TE,2017,2019,$7
1940,,Avery Williamson,LB,FA,2017,
3270,,B.J. Goodson,LB,FA,2017,
575,James/Charles,Barry Church,DB,2016,2018,$5
2091,,Bashaud Breeland,DB,FA,2017,
138,Brett/Luke,Ben Roethlisberger,QB,2017,2017,$80
2348,,Benardrick McKinney,LB,FA,2017,
1564,John/Zach,Benny Cunningham,RB,2015,2017,$1
663,John/Zach,Benjamin Watson,TE,FA,2017,$1
2003,,Bennie Fowler,WR,FA,2017,
818,Trevor,Bilal Powell,RB,2016,2017,$15
1937,,Bishop Sankey,RB,FA,2017,
862,John/Zach,Blaine Gabbert,QB,FA,2017,$1
1214,Mitch,Blair Walsh,K,FA,2017,$1
1979,Quinn,Blake Bortles,QB,2017,2019,$17
3291,Keyon,Blake Martinez,LB,FA,2017,$1
1059,,Bobby Rainey,RB,FA,2017,
1233,Syed/Terence,Bobby Wagner,LB,2017,2017,$14
1617,,Bradley McDougald,DB,FA,2017,
2050,,Branden Oliver,RB,FA,2017,
2197,Syed/Terence,Brandin Cooks,WR,2017,2017,$150
1034,,Brandon Bolden,RB,FA,2017,
2196,,Brandon Coleman,WR,FA,2017,
583,Syed/Terence,Brandon Graham,DL,FA,2017,$1
613,,Brandon LaFell,WR,FA,2017,
1118,Trevor,Brandon Marshall,LB,2015,2017,$3
648,,Brandon Marshall,WR,FA,2017,
1433,Trevor,Brandon McManus,K,2016,2018,$2
346,,Brandon Tate,WR,FA,2017,
3203,Brett/Luke,Braxton Miller,WR,2016,2018,$5
2331,,Breshad Perriman,WR,FA,2017,
2450,Mitch,Brett Hundley,QB,FA,2017,$62
4187,Quinn,Brian Hill,RB,2017,2019,$2
345,James/Charles,Brian Hoyer,QB,2017,2017,$10
414,,Brian Orakpo,LB,FA,2017,
1208,,Brian Quick,WR,FA,2017,
1126,Mitch,Brock Osweiler,QB,FA,2017,$15
2255,,Bruce Ellington,WR,FA,2017,
2408,Patrick,Bryce Petty,QB,FA,2017,$1
4081,Keyon,Budda Baker,DB,FA,2017,$6
2332,,Byron Jones,DB,FA,2017,
3491,,Byron Marshall,RB,FA,2017,
1451,Daniel,C.J. Anderson,RB,2017,2019,$45
4127,Patrick,C.J. Beathard,QB,2017,2019,$2
1951,Trevor,C.J. Fiedorowicz,TE,2017,2019,$4
1875,James/Charles,C.J. Mosley,LB,2017,2019,$5
