ID,Owner,Name,Position,Start,End,Salary
830,Daniel,A.J. Green,WR,2017,2019,$190
2227,Daniel,Aaron Donald,DL,2017,2017,$1
4199,Schex/Jeff,Aaron Jones,RB,2017,2019,$2
96,Syed/Terence,Aaron Rodgers,QB,2016,2018,$270
2822,,Adam Humphries,WR,FA,2017,
657,Patrick,Adam Jones,DB,2015,2017,$10
4085,Syed/Terence,Adam Shaheen,TE,2017,2019,$1
1689,Koci/Mueller,Adam Thielen,WR,2017,2019,$7
120,Daniel,Adam Vinatieri,K,2017,2017,$1
4078,Syed/Terence,Adoree' Jackson,DB,2017,2019,$1
961,,Adrian Clayborn,DL,FA,2017,
184,Trevor,Adrian Peterson,RB,2017,2017,$40
1895,Koci/Mueller,AJ McCarron,QB,2016,2018,$1
1186,,Akiem Hicks,DL,FA,2017,
1572,Quinn,Alec Ogletree,LB,2017,2017,$40
4118,James/Charles,Alex Anzalone,LB,2017,2019,$1
3327,,Alex Collins,RB,FA,2017,
1578,,Alex Okafor,DL,FA,2017,
268,Schex/Jeff,Alex Smith,QB,2017,2017,$32
1944,,Alfred Blue,RB,FA,2017,
1170,Brett/Luke,Alfred Morris,RB,2016,2017,$25
1984,Koci/Mueller,Allen Hurns,WR,2015,2017,$1
1992,Quinn,Allen Robinson,WR,2017,2019,$75
1149,Koci/Mueller,Alshon Jeffery,WR,2017,2019,$90
4035,Keyon,Alvin Kamara,RB,2017,2019,$12
4139,Keyon,Amara Darboh,WR,2017,2019,$1
2309,Schex/Jeff,Amari Cooper,WR,2015,2017,$17
2359,Quinn,Ameer Abdullah,RB,2015,2017,$27
1575,,Andre Ellington,RB,FA,2017,
92,,Andre Johnson,WR,FA,2017,
627,,Andre Roberts,WR,FA,2017,
2088,,Andre Williams,RB,FA,2017,
831,,Andrew Hawkins,WR,FA,2017,
1111,Mitch,Andrew Luck,QB,2016,2017,$240
829,Koci/Mueller,Andy Dalton,QB,2015,2017,$68
3332,,Andy Janovich,RB,FA,2017,
655,Trevor,Anquan Boldin,WR,2017,2017,$2
2151,,Anthony Barr,LB,FA,2017,
88,John/Zach,Antoine Bethea,DB,2015,2017,$1
609,,Antone Smith,RB,FA,2017,
536,Patrick,Antonio Brown,WR,2017,2017,$350
322,Patrick,Antonio Gates,TE,2017,2017,$1
4119,Schex/Jeff,ArDarius Stewart,WR,2017,2019,$5
669,,Arian Foster,RB,FA,2017,
3202,Trevor,Austin Hooper,TE,2016,2018,$4
2222,Patrick,Austin Seferian-Jenkins,TE,2017,2019,$7
1940,,Avery Williamson,LB,FA,2017,
575,James/Charles,Barry Church,DB,2016,2018,$5
2091,,Bashaud Breeland,DB,FA,2017,
138,Brett/Luke,Ben Roethlisberger,QB,2017,2017,$80
2348,Quinn,Benardrick McKinney,LB,2017,2017,$10
1564,John/Zach,Benny Cunningham,RB,2015,2017,$1
663,,Benjamin Watson,TE,FA,2017,
818,Trevor,Bilal Powell,RB,2016,2017,$15
1937,,Bishop Sankey,RB,FA,2017,
862,,Blaine Gabbert,QB,FA,2017,
1214,,Blair Walsh,K,FA,2017,
1979,John/Zach,Blake Bortles,QB,2017,2019,$17
1059,,Bobby Rainey,RB,FA,2017,
1233,Syed/Terence,Bobby Wagner,LB,2017,2017,$14
1617,,Bradley McDougald,DB,FA,2017,
2050,,Branden Oliver,RB,FA,2017,
2197,Syed/Terence,Brandin Cooks,WR,2017,2017,$150
1034,,Brandon Bolden,RB,FA,2017,
2196,,Brandon Coleman,WR,FA,2017,
583,,Brandon Graham,DL,FA,2017,
613,,Brandon LaFell,WR,FA,2017,
1118,Trevor,Brandon Marshall,LB,2015,2017,$3
648,Schex/Jeff,Brandon Marshall,WR,2017,2017,$30
1433,Trevor,Brandon McManus,K,2016,2018,$2
346,,Brandon Tate,WR,FA,2017,
3203,Brett/Luke,Braxton Miller,WR,2016,2018,$5
2331,Patrick,Breshad Perriman,WR,2016,2018,$3
4187,Quinn,Brian Hill,RB,2017,2019,$2
345,James/Charles,Brian Hoyer,QB,2017,2017,$10
414,,Brian Orakpo,LB,FA,2017,
1208,,Brian Quick,WR,FA,2017,
1126,Syed/Terence,Brock Osweiler,QB,2017,2019,$5
2255,,Bruce Ellington,WR,FA,2017,
2408,,Bryce Petty,QB,FA,2017,
2332,Patrick,Byron Jones,DB,2017,2019,$1
1451,Daniel,C.J. Anderson,RB,2017,2019,$45
4127,Patrick,C.J. Beathard,QB,2017,2019,$2
1951,Trevor,C.J. Fiedorowicz,TE,2017,2019,$4
1875,James/Charles,C.J. Mosley,LB,2017,2019,$5
3204,Trevor,C.J. Prosise,RB,2016,2018,$13
507,,C.J. Spiller,RB,FA,2017,
2460,,C.J. Uzomah,TE,FA,2017,
2020,Brett/Luke,Cairo Santos,K,2017,2017,$2
125,Trevor,Calais Campbell,DL,2017,2018,$7
1358,Schex/Jeff,Caleb Sturgis,K,2017,2019,$1
954,Quinn,Cam Newton,QB,2017,2019,$175
2477,Schex/Jeff,Cameron Artis-Payne,RB,2016,2018,$4
2214,Mitch,Cameron Brate,TE,2017,2017,$1
957,Daniel,Cameron Jordan,DL,2017,2017,$1
2699,Keyon,Cameron Meredith,WR,2017,2019,$12
342,,Cameron Wake,DL,FA,2017,
3210,,Cardale Jones,QB,FA,2017,
529,Daniel,Carlos Dunlap,DL,2017,2017,$11
4108,Keyon,Carlos Henderson,WR,2017,2019,$3
2257,Quinn,Carlos Hyde,RB,2017,2019,$75
91,Quinn,Carson Palmer,QB,2017,2017,$70
3161,Quinn,Carson Wentz,QB,2016,2018,$8
1737,,Case Keenum,QB,FA,2017,
1175,,Casey Hayward,DB,FA,2017,
4175,Keyon,Chad Hansen,WR,2017,2019,$1
89,Syed/Terence,Chad Henne,QB,2017,2017,$6
4128,Schex/Jeff,Chad Williams,WR,2017,2019,$1
2242,John/Zach,Chandler Catanzaro,K,2016,2018,$3
1038,Patrick,Chandler Jones,LB,2015,2017,$11
2024,,Charcandrick West,RB,FA,2017,
801,Daniel,Charles Clay,TE,2017,2019,$1
1530,,Charles Johnson,WR,FA,2017,
2223,James/Charles,Charles Sims,RB,2017,2019,$5
3396,Quinn,Charone Peake,WR,2016,2018,$1
490,,Chase Daniel,QB,FA,2017,
3582,,Chester Rogers,WR,FA,2017,
1945,,Chris Boswell,K,FA,2017,
4273,Koci/Mueller,Chris Carson,RB,2017,2019,$3
2381,Trevor,Chris Conley,WR,2015,2017,$5
4037,Brett/Luke,Chris Godwin,WR,2017,2018,$5
1329,Daniel,Chris Hogan,WR,2017,2019,$8
717,Trevor,Chris Ivory,RB,2017,2019,$2
272,,Chris Johnson,RB,FA,2017,
3269,,Chris Moore,WR,FA,2017,
1502,Koci/Mueller,Chris Thompson,RB,2016,2018,$5
3168,Trevor,Christian Hackenberg,QB,2016,2018,$4
1905,Quinn,Christian Kirksey,LB,2017,2017,$15
4034,Daniel,Christian McCaffrey,RB,2017,2019,$24
1596,,Christine Michael,RB,FA,2017,
170,Patrick,Cliff Avril,DL,2017,2019,$1
2373,,Clive Walford,TE,FA,2017,
1107,Quinn,Coby Fleener,TE,2016,2018,$30
3205,Patrick,Cody Kessler,QB,2016,2018,$8
2004,,Cody Latimer,WR,FA,2017,
1144,Patrick,Cole Beasley,WR,2016,2018,$1
980,,Colin Kaepernick,QB,FA,2017,
533,,Colt McCoy,QB,FA,2017,
371,,Connor Barwin,DL,FA,2017,
3171,Daniel,Connor Cook,QB,2016,2018,$1
4039,Trevor,Cooper Kupp,WR,2017,2019,$5
1535,,Cordarrelle Patterson,WR,FA,2017,
3177,Quinn,Corey Coleman,WR,2016,2018,$17
