ID,Owner,Name,Position,Start,End,Salary
830,Trevor,A.J. Green,WR,2011,2013,$26
261,Pat/Quinn,A.J. Hawk,LB,2013,2013,$1
1226,Pat/Quinn,AJ Jenkins,WR,2012,2014,$4
1365,John,Aaron Dobson,WR,2013,2015,$9
96,Koci/Mueller,Aaron Rodgers,QB,2012,2014,$263
1450,Koci/Mueller,Ace Sanders,WR,2013,2015,$5
184,Schex,Adrian Peterson,RB,2012,2014,$135
78,John,Ahmad Bradshaw,RB,2013,2013,$83
986,Mitch,Aldon Smith,LB,2013,2013,$20
1572,Mitch,Alec Ogletree,LB,2013,2013,$1
268,John,Alex Smith,QB,2011,2013,$5
1170,James,Alfred Morris,RB,2013,2015,$230
1149,James,Alshon Jeffery,WR,2012,2014,$16
-1,John,Andre Brown,RB,2013,2013,$60
1575,Pat/Quinn,Andre Ellington,RB,2013,2015,$2
92,Trevor,Andre Johnson,WR,2013,2014,$105
627,Schex,Andre Roberts,WR,2013,2015,$3
1111,Mitch,Andrew Luck,QB,2012,2014,$25
829,Keyon,Andy Dalton,QB,2011,2013,$4
655,John,Anquan Boldin,WR,2013,2013,$27
152,James,Anthony Spencer,DL/LB,2013,2015,$27
88,,Antoine Bethea,DB,FA,2013,$1
536,Mitch,Antonio Brown,WR,2013,2013,$85
322,Mitch,Antonio Gates,TE,2013,2013,$25
669,Daniel,Arian Foster,RB,2013,2013,$270
1376,Trevor,Arthur Brown,LB,2013,2015,$1
1405,Charles,Barkevious Mingo,DL/LB,2013,2015,$1
138,James,Ben Roethlisberger,QB,2011,2013,$90
1004,Pat/Quinn,Ben Tate,RB,2013,2015,$45
5820,Keyon,BenJarvus Green-Ellis,RB,2012,2013,$32
1564,,Benny Cunningham,RB,FA,2013,$1
1263,Jake/Luke,Bernard Pierce,RB,2012,2014,$7
-1,,Bernard Pollard,DB,FA,2013,$1
818,Schex,Bilal Powell,RB,2013,2013,$17
862,Daniel,Blaine Gabbert,QB,2012,2014,$24
1214,Charles,Blair Walsh,K,2013,2013,$2
1059,,Bobby Rainey,RB,FA,2013,$3
1233,James,Bobby Wagner,LB,2013,2015,$15
-1,,Brandon Jackson,RB,FA,2013,
613,Charles,Brandon LaFell,WR,2013,2013,$1
648,Mitch,Brandon Marshall,WR,2013,2014,$175
397,Trevor,Brandon Myers,TE,2013,2013,$40
465,Keyon,Brandon Pettigrew,TE,2013,2013,$17
346,Pat/Quinn,Brandon Tate,WR,2012,2014,$3
1085,Syed,Brandon Weeden,QB,2012,2014,$13
221,Schex,Brent Celek,TE,2013,2015,$2
373,John,Brian Cushing,LB,2013,2015,$7
339,John,Brian Hartline,WR,2013,2015,$12
345,,Brian Hoyer,QB,FA,2013,$11
414,Syed,Brian Orakpo,LB,2013,2015,$1
1208,Koci/Mueller,Brian Quick,WR,2012,2014,$16
285,,Brian Robison,DL,FA,2013,
1126,Pat/Quinn,Brock Osweiler,QB,2012,2014,$1
901,Keyon,Bruce Carter,LB,2013,2015,$3
1026,Jake/Luke,Bryce Brown,RB,2012,2014,$2
507,Jake/Luke,C.J. Spiller,RB,2013,2015,$280
125,Keyon,Calais Campbell,DL,2013,2013,$2
240,Schex,Calvin Johnson,WR,2011,2013,$150
954,Trevor,Cam Newton,QB,2011,2013,$13
957,Schex,Cameron Jordan,DL,2013,2015,$2
342,Charles,Cameron Wake,DL,2013,2014,$11
91,Keyon,Carson Palmer,QB,2013,2013,$82
866,John,Cecil Shorts,WR,2013,2015,$39
249,Schex,Chad Greenway,LB,2013,2015,$6
89,Daniel,Chad Henne,QB,2013,2015,$10
1038,Pat/Quinn,Chandler Jones,DL,2012,2014,$1
