ID,Owner,Name,Position,Start,End,Salary
11257,Charles,Rashard Mendenhall,RB,2012,2013,$40
964,John,Ray Lewis,LB,FA,2012,$5
11289,Jake/Luke,Ray Rice,RB,2012,2012,$335
9588,Trevor,Reggie Bush,RB,2011,2013,$22
10465,Schex,Reggie Nelson,DB,2012,2012,$3
2578,Mitch,Reggie Wayne,WR,2012,2012,$73
13229,Trevor,Rob Gronkowski,TE,2010,2012,$1
14009,Koci,Rob Housler,TE,2012,2014,$1
9354,Pat/Quinn,Robbie Gould,K,2012,2012,$1
14875,Schex,Robert Griffin III,QB,2012,2014,$25
10471,John,Robert Meachem,WR,2011,2013,$1
13984,John,Robert Quinn,DL,2012,2014,$3
14894,Koci,Robert Turbin,RB,2012,2014,$4
15391,Charles,Rod Streater,WR,2012,2014,$4
8442,Daniel,Roddy White,WR,2012,2012,$150
13255,Mitch,Rolando McClain,LB,2012,2012,$1
9629,James,Roman Harper,DB,2012,2012,$4
8417,Trevor,Ronnie Brown,RB,2012,2013,$17
14895,Koci,Ronnie Hillman,RB,2012,2014,$13
14192,Syed,Roy Helu,RB,2011,2013,$25
14911,Jake/Luke,Rueben Randle,WR,2012,2014,$16
14881,Schex,Russell Wilson,QB,2012,2014,$13
14919,Keyon,Ryan Broyles,WR,2012,2014,$4
8664,Koci,Ryan Fitzpatrick,QB,2011,2013,$21
13973,Syed,Ryan Kerrigan,LB,2011,2013,$1
14883,Trevor,Ryan Lindley,QB,2012,2014,$2
14037,Trevor,Ryan Mallett,QB,2011,2013,$1
13204,Syed,Ryan Mathews,RB,2010,2012,$28
14876,Syed,Ryan Tannehill,QB,2012,2014,$25
14051,Syed,Ryan Williams,RB,2011,2013,$25
13197,Syed,Sam Bradford,QB,2010,2012,$6
2564,,Santana Moss,WR,FA,2012
9611,Schex,Santonio Holmes,WR,2012,2012,$42
10572,Pat/Quinn,Scott Chandler,TE,2012,2012,$15
13284,John,Sean Lee,LB,2012,2014,$5
13243,Trevor,Sean Weatherspoon,LB,2010,2012,$1
2148,Schex,Sebastian Janikowski,K,2012,2012,$4
14017,Jake/Luke,Shane Vereen,RB,2011,2013,$4
14518,Keyon,Shaun Draughn,RB,FA,2012,$1
4260,Charles,Shaun Hill,QB,2011,2013,$1
12500,James,Shonn Greene,RB,2012,2013,$55
10488,Charles,Sidney Rice,WR,2012,2013,$10
9704,James,Stephen Gostkowski,K,2012,2012,$3
14910,James,Stephen Hill,WR,2012,2014,$8
10553,Schex,Stephen Nicholas,LB,FA,2012,$1
9702,John,Stephen Tulloch,LB,2012,2012,$10
14942,Mitch,Stephon Gilmore,DB,2012,2014,$1
14028,Charles,Stevan Ridley,RB,2011,2013,$25
11458,Schex,Steve Johnson,WR,2011,2013,$55
11323,Trevor,Steve Slaton,RB,2012,2012,$1
2622,Keyon,Steve Smith (CAR),WR,2012,2012,$99
10495,Daniel,Steve Smith (STL),WR,2012,2014,$1
5549,James,Steven Jackson,RB,2012,2012,$135
13304,Jake/Luke,T.J. Ward,DB,2010,2012,$1
14114,Charles,T.J. Yates,QB,2012,2012,$14
14924,Jake/Luke,T.Y. Hilton,WR,2012,2014,$2
14167,Koci,Taiwan Jones,RB,2012,2014,$3
9606,Jake/Luke,Tamba Hali,DL,2011,2012,$1
11359,Mitch,Tashard Choice,RB,2012,2012,$2
1056,,Terrell Owens,WR,FA,2012
14851,Trevor,Terrelle Pryor,QB,2011,2013,$1
11383,,Tim Hightower,RB,FA,2012
13200,Syed,Tim Tebow,QB,2010,2012,$12
14034,Charles,Titus Young,WR,2011,2013,$13
13211,James,Toby Gerhart,RB,2010,2012,$14
2330,Pat/Quinn,Tom Brady,QB,2012,2014,$255
5968,Trevor,Tommy Kelly,DL,2012,2014,$1
1231,James,Tony Gonzalez,TE,2012,2012,$20
13289,,Tony Moeaki,TE,FA,2012
5209,James,Tony Romo,QB,2012,2012,$95
14032,Koci,Torrey Smith,WR,2012,2014,$63
8560,Mitch,Trent Cole,DL,2012,2013,$15
14884,Koci,Trent Richardson,RB,2012,2014,$25
13386,Syed,Trindon Holliday,WR,2012,2014,$3
11334,Syed,Tyvon Branch,DB,2012,2014,$10
9592,Daniel,Vernon Davis,TE,2011,2013,$60
14898,Koci,Vick Ballard,RB,2012,2014,$13
13553,Keyon,Victor Cruz,WR,2012,2014,$100
9589,,Vince Young,QB,FA,2012
10482,Schex,Zach Miller,TE,FA,2012,$1
14027,Keyon,Vincent Brown,WR,2012,2014,$1
8475,John,Vincent Jackson,WR,2011,2013,$110
13976,Jake/Luke,Von Miller,LB,2012,2012,$22
5941,Trevor,Wes Welker,WR,2012,2012,$120
14936,Daniel,Whitney Mercilus,DL,2012,2014,$1
12530,Schex,William Moore,DB,FA,2012,$1
4481,John,Willis McGahee,RB,2010,2012,$1
