ID,Owner,Name,Position,Start,End,Salary
5859,Jason,A.J. Brown,WR,2024,2026,$169
10863,,A.T. Perry,WR,FA,2023,
3218,,A'Shawn Robinson,DL,FA,2024,
2227,,Aaron Donald,DL,FA,2023,
4199,Quinn,Aaron Jones,RB,2025,2025,$68
96,Mike,Aaron Rodgers,QB,2025,2025,$35
12574,,Abdul Carter,DL/LB,FA,2025,
1689,,Adam Thielen,WR,FA,2025,
11625,,Adonai Mitchell,WR,FA,2025,
8289,Mike,Aidan Hutchinson,DL,2025,2026,$11
10866,,Aidan O'Connell,QB,FA,2024,
11603,Keyon,AJ Barner,TE,FA,2025,$1
6828,,A.J. Dillon,RB,FA,2025,
8142,Luke,Alec Pierce,WR,2025,2027,$3
4118,Patrick,Alex Anzalone,LB,FA,2025,$1
7113,,Alex Highsmith,DL/LB,FA,2025,
2617,Luke,Alex Singleton,LB,2025,2026,$9
5987,,Alexander Mattison,RB,FA,2024,
5185,,Allen Lazard,WR,FA,2024,
1992,,Allen Robinson,WR,FA,2023,
8333,,Alontae Taylor,DB,FA,2024,
4035,Mitch,Alvin Kamara,RB,2025,2025,$79
2309,,Amari Cooper,WR,FA,2025,
7540,,Amari Rodgers,WR,FA,2023,
2359,,Ameer Abdullah,RB,FA,2024,
7547,Quinn,Amon-Ra St. Brown,WR,2024,2025,$215
7698,,Andre Cisco,DB,FA,2024,
10226,Luke,Andrei Iosivas,WR,FA,2025,$8
6183,Justin,Andrew Van Ginkel,LB,2025,2025,$4
829,,Andy Dalton,QB,FA,2025,
9229,,Anthony Richardson,QB,FA,2025,
6888,Koci/Mueller,Antoine Winfield,DB,2025,2027,$2
6945,Brett,Antonio Gibson,RB,2023,2025,$8
10974,,Antonio Johnson,DB,FA,2024,
5067,,Arden Key,DL/LB,FA,2024,
343,Mitch,Patrick Chung,RB,2025,2027,$21
11579,Koci/Mueller,Audric Estime,RB,FA,2025,$6
4663,,Austin Ekeler,RB,FA,2025,
3202,,Austin Hooper,TE,FA,2024,
6219,,Austin Seibert,K,FA,2024,
6485,,Azeez Al-Shaair,LB,FA,2025,
8157,,Bailey Zappe,QB,FA,2024,
4892,Mike,Baker Mayfield,QB,2025,2027,$163
12646,Keyon,Barrett Carter,LB,FA,2025,$1
11596,,Ben Sinnott,TE,FA,2025,
12490,Mike,Bhayshul Tuten,RB,2025,2027,$11
9509,Quinn,Bijan Robinson,RB,2023,2025,$25
6217,Quinn,Blake Cashman,LB,FA,2025,$9
11586,Brett,Blake Corum,RB,2024,2026,$12
11058,,Blake Grupe,K,FA,2024,
11563,Brett,Bo Nix,QB,2024,2026,$40
5944,Justin,Bobby Okereke,LB,2025,2025,$4
1233,Koci/Mueller,Bobby Wagner,LB,2025,2025,$2
8343,,Boye Mafe,DL/LB,FA,2023,
11677,,Braden Fiske,DL,FA,2025,
4967,,Bradley Chubb,DL/LB,FA,2023,
12538,Justin,Brady Cook,QB,FA,2025,$1
11576,Schexes,Braelon Allen,RB,2024,2026,$6
2197,,Brandin Cooks,WR,FA,2024,
6803,Mike,Brandon Aiyuk,WR,2023,2025,$50
3357,,Brandon Allen,QB,FA,2024,
1108,Keyon,Jerrell Freeman,K,2024,2026,$7
12269,,Brandon Codrington,DB,FA,2024,
6911,Keyon,Brandon Jones,DB,2025,2025,$1
1433,Brett,Brandon McManus,K,2025,2025,$1
5695,,Brandon Powell,WR,FA,2023,
7685,,Brandon Stephens,DB,FA,2024,
12455,Luke,Brashard Smith,RB,2025,2027,$2
5121,,Braxton Berrios,WR,FA,2024,
11949,,Brayden Narveson,K,FA,2024,
8155,Patrick,Breece Hall,RB,2025,2025,$95
11621,,Brenden Rice,WR,FA,2024,
9480,Mitch,Brenton Strange,TE,2025,2027,$10
4958,,Brett Maher,K,FA,2023,
6037,,Brett Rypien,QB,FA,2023,
7568,,Brevin Jordan,TE,FA,2023,
10905,,Brian Branch,DB,FA,2025,
5862,Quinn,Brian Burns,DL,2025,2025,$1
345,,Brian Hoyer,QB,FA,2023,
8154,Schexes,Brian Robinson,RB,2025,2027,$16
11631,Keyon,Brian Thomas,WR,2024,2026,$16
11604,Schexes,Brock Bowers,TE,2024,2026,$9
8183,Koci/Mueller,Brock Purdy,QB,2025,2025,$205
7891,Justin,Brock Wright,TE,FA,2025,$2
8294,,Bryan Cook,DB,FA,2024,
9228,Keyon,Bryce Young,QB,2025,2027,$121
11584,Schexes,Bucky Irving,RB,2024,2026,$12
4081,Luke,Budda Baker,DB,2025,2027,$3
11668,,Byron Murphy,DL,FA,2024,
10917,Schexes,Byron Young,DL/LB,FA,2025,$2
4127,,C.J. Beathard,QB,FA,2023,
74,,Mike Adams,DB,FA,2023,
743,,C.J. Mosley,LB,2024,2024,
9758,Brett,C.J. Stroud,QB,2023,2025,$30
8111,Luke,Cade Otton,TE,2025,2026,$3
11599,,Cade Stover,TE,FA,2024,
8258,,Cade York,K,FA,2023,
2020,Keyon,Cairo Santos,K,FA,2025,$1
11560,Schexes,Caleb Williams,QB,2024,2026,$40
8125,Quinn,Calvin Austin,WR,2025,2027,$2
4981,,Calvin Ridley,WR,FA,2025,
6938,,Cam Akers,RB,FA,2024,
7715,Anthony,Cam Bynum,DB,FA,2025,$4
715,Quinn,Ryan Wendell,K,FA,2025,$1
12481,Patrick,Cam Skattebo,RB,2025,2027,$11
12522,Mitch,Cam Ward,QB,2025,2027,$44
8259,Koci/Mueller,Cameron Dicker,K,2025,2025,$2
843,,Cameron Heyward,DL,FA,2023,
957,,Cameron Jordan,DL,FA,2023,
5912,,Carl Granderson,DL/LB,FA,2025,
12578,Brett,Carson Schwesinger,LB,2025,2026,$1
11582,,Carson Steele,RB,FA,2025,
3161,,Carson Wentz,QB,FA,2025,
1737,,Case Keenum,QB,FA,2023,
11742,Schexes,Cedric Gray,LB,FA,2025,$1
10444,Patrick,Cedric Tillman,WR,2025,2027,$18
6786,Patrick,CeeDee Lamb,WR,2023,2025,$195
10955,Mitch,Chad Ryland,K,FA,2025,$1
