ID,Owner,Name,Position,Start,End,Salary
830,Patrick,A.J. Green,WR,2014,2016,$180
261,John/Zach,A.J. Hawk,LB,2014,2015,$2
1365,John/Zach,Aaron Dobson,WR,2013,2015,$9
2227,John/Zach,Aaron Donald,DL,2014,2016,$1
2019,James,Aaron Murray,QB,2014,2016,$10
96,Quinn,Aaron Rodgers,QB,2015,2015,$315
657,Patrick,Adam Jones,DB,2015,2017,$10
120,Daniel,Adam Vinatieri,K,2015,2015,$1
184,Keyon,Adrian Peterson,RB,2015,2015,$235
78,Syed,Ahmad Bradshaw,RB,FA,2015,$1
1895,Koci/Mueller,AJ McCarron,QB,FA,2015,$45
1572,Mitch,Alec Ogletree,LB,2014,2016,$5
1578,James,Alex Okafor,DL/LB,FA,2015,$2
268,John/Zach,Alex Smith,QB,2014,2016,$40
1944,Daniel,Alfred Blue,RB,2014,2016,$3
1170,Quinn,Alfred Morris,RB,FA,2015,$7
1984,Koci/Mueller,Allen Hurns,WR,2015,2017,$1
1992,Keyon,Allen Robinson,WR,2014,2016,$5
1149,Koci/Mueller,Alshon Jeffery,WR,2015,2015,$180
540,,Alterraun Verner,DB,FA,2015,
2309,Quinn,Amari Cooper,WR,2015,2017,$17
2359,Quinn,Ameer Abdullah,RB,2015,2017,$27
1575,Patrick,Andre Ellington,RB,2013,2015,$2
92,Daniel,Andre Johnson,WR,2015,2015,$110
627,,Andre Roberts,WR,FA,2015,
2088,Syed,Andre Williams,RB,2014,2016,$12
1111,Mitch,Andrew Luck,QB,2015,2015,$310
829,Koci/Mueller,Andy Dalton,QB,2015,2017,$68
655,Quinn,Anquan Boldin,WR,2015,2015,$5
2151,Mitch,Anthony Barr,LB,2015,2016,$2
88,John/Zach,Antoine Bethea,DB,2015,2017,$1
1928,Mitch,Antonio Andrews,RB,FA,2015,$15
536,Mitch,Antonio Brown,WR,2014,2015,$165
322,Keyon,Antonio Gates,TE,2015,2015,$10
675,James,Antrel Rolle,DB,2015,2015,$2
1115,,Antwon Blake,DB,FA,2015,
180,,Aqib Talib,DB,FA,2015,
669,Schex,Arian Foster,RB,2015,2017,$90
1402,Trevor,Armonty Bryant,DL,FA,2015,$1
1200,Quinn,Austin Davis,QB,FA,2015,$22
2222,Patrick,Austin Seferian-Jenkins,TE,2014,2016,$7
575,James,Barry Church,DB,2015,2015,$2
138,Brett/Luke,Ben Roethlisberger,QB,2015,2015,$130
1564,John/Zach,Benny Cunningham,RB,2015,2017,$1
663,Daniel,Benjamin Watson,TE,FA,2015,$1
-1,,Bernardick McKinney,LB,FA,2015,
818,Trevor,Bilal Powell,RB,2014,2015,$1
1937,Brett/Luke,Bishop Sankey,RB,2014,2016,$24
862,Brett/Luke,Blaine Gabbert,QB,FA,2015,$23
1214,Mitch,Blair Walsh,K,2015,2015,$2
2422,Schex,Blake Bell,TE,2015,2017,$1
1979,John/Zach,Blake Bortles,QB,2014,2016,$19
1059,Quinn,Bobby Rainey,RB,2014,2016,$2
1233,James,Bobby Wagner,LB,2013,2015,$15
727,,Anthony Dixon,RB,FA,2015,
2050,Schex,Branden Oliver,RB,2015,2017,$1
2197,Syed,Brandin Cooks,WR,2014,2016,$19
1034,Quinn,Brandon Bolden,RB,FA,2015,$7
2196,Keyon,Brandon Coleman,WR,2015,2017,$12
613,Patrick,Brandon LaFell,WR,2015,2017,$20
1118,Trevor,Brandon Marshall,LB,2015,2017,$3
648,Trevor,Brandon Marshall,WR,2015,2016,$67
1433,Trevor,Brandon McManus,K,FA,2015,$1
1085,Patrick,Brandon Weeden,QB,FA,2015,$1
2331,Syed,Breshad Perriman,WR,2015,2017,$17
373,,Brian Cushing,LB,FA,2015,
339,,Brian Hartline,WR,FA,2015,
345,Patrick,Brian Hoyer,QB,2015,2017,$30
1208,Mitch,Brian Quick,WR,2015,2015,$26
1126,Syed,Brock Osweiler,QB,2014,2016,$1
901,,Bruce Carter,LB,FA,2015,
2255,Brett/Luke,Bruce Ellington,WR,2014,2016,$1
1026,Koci/Mueller,Bryce Brown,RB,FA,2015,$3
2408,Schex,Bryce Petty,QB,2015,2017,$6
2327,,Bud Dupree,LB,FA,2015,
1451,Daniel,C.J. Anderson,RB,2014,2016,$3
1875,Brett/Luke,C.J. Mosley,LB,2014,2016,$1
507,Mitch,C.J. Spiller,RB,2015,2015,$70
2020,Trevor,Cairo Santos,K,FA,2015,$2
125,Quinn,Calais Campbell,DL,FA,2015,$1
240,Trevor,Calvin Johnson,WR,2015,2015,$235
1859,Quinn,Calvin Pryor,DB,FA,2015,$3
954,Patrick,Cam Newton,QB,2015,2015,$150
2477,Patrick,Cameron Artis-Payne,RB,2015,2017,$7
2214,Quinn,Cameron Brate,TE,FA,2015,$5
843,Quinn,Cameron Heyward,DL,FA,2015,$1
957,,Cameron Jordan,DL,FA,2015,
342,James,Cameron Wake,DL,2015,2015,$2
529,Daniel,Carlos Dunlap,DL,2015,2015,$7
2257,Keyon,Carlos Hyde,RB,2014,2016,$24
91,Keyon,Carson Palmer,QB,2014,2016,$42
1737,Mitch,Case Keenum,QB,FA,2015,$6
866,John/Zach,Cecil Shorts,WR,2013,2015,$39
89,John/Zach,Chad Henne,QB,2013,2015,$10
2242,Keyon,Chandler Catanzaro,K,FA,2015,$1
1038,Patrick,Chandler Jones,DL,2015,2017,$11
2024,Quinn,Charcandrick West,RB,FA,2015,$99
801,Brett/Luke,Charles Clay,TE,2015,2015,$3
1530,Koci/Mueller,Charles Johnson,WR,2015,2017,$30
2223,Schex,Charles Sims,RB,2014,2016,$12
100,Daniel,Charles Woodson,DB,2015,2015,$2
698,,Charlie Whitehurst,QB,FA,2015,
1945,Patrick,Chris Boswell,K,FA,2015,$1
2381,Trevor,Chris Conley,WR,2015,2017,$5
2721,Koci/Mueller,Chris Harper,WR,2015,2017,$2
717,Trevor,Chris Ivory,RB,2014,2015,$20
272,Mitch,Chris Johnson,RB,2015,2015,$2
1033,John/Zach,Chris Polk,RB,2015,2017,$6
1502,,Chris Thompson,RB,FA,2015,
1905,James,Christian Kirksey,LB,2014,2016,$1
1596,Keyon,Christine Michael,RB,FA,2015,$2
425,,Clay Matthews,LB,FA,2015,
170,Schex,Cliff Avril,DL,FA,2015,$1
2373,Daniel,Clive Walford,TE,2015,2017,$2
1107,,Coby Fleener,TE,FA,2015,
2004,,Cody Latimer,WR,FA,2015,
1974,,Cody Parkey,K,FA,2015,
1144,,Cole Beasley,WR,FA,2015,
980,Quinn,Colin Kaepernick,QB,2014,2016,$160
533,Brett/Luke,Colt McCoy,QB,2015,2015,$2
371,Syed,Connor Barwin,LB,FA,2015,$1
1535,John/Zach,Cordarrelle Patterson,WR,2013,2015,$18
273,Keyon,Corey Graham,DB,FA,2015,$1
137,James,Curtis Lofton,LB,2014,2016,$3
93,Trevor,D'Qwell Jackson,LB,2014,2015,$1
1673,,Da'Rick Rogers,WR,FA,2015,
1833,Schex,Damien Williams,RB,2014,2016,$1
899,,Dan Bailey,K,FA,2015,
45,James,Dan Carpenter,K,2015,2015,$1
1307,John/Zach,Dan Herron,RB,2015,2017,$9
491,Mitch,Danny Amendola,WR,FA,2015,$7
1127,Mitch,Danny Trevathan,LB,FA,2015,$1
