ID,Owner,Name,Position,Start,End,Salary
13983,Daniel,A.J. Green,WR,2017,2019,$190
15964,,A.J. Klein,LB,FA,2018,
16716,,Aaron Donald,DL,FA,2018,
18314,Schex,Aaron Jones,RB,2017,2019,$2
8439,Syed/Terence,Aaron Rodgers,QB,2016,2018,$270
17756,,Adam Humphries,WR,FA,2018,
8421,,Adam Jones,DB,FA,2018,
18276,Syed/Terence,Adam Shaheen,TE,2017,2019,$1
16460,Koci/Mueller,Adam Thielen,WR,2017,2019,$7
1097,,Adam Vinatieri,K,FA,2018,
18305,Syed/Terence,Adoree' Jackson,DB,2017,2019,$1
13965,Syed/Terence,Adrian Clayborn,DL,2018,2018,$1
10452,Trevor,Adrian Peterson,RB,2018,2018,$34
16810,John/Zach,AJ McCarron,QB,2016,2018,$1
14984,,Akiem Hicks,DL,FA,2018,
15806,Koci/Mueller,Alec Ogletree,LB,2018,2020,$22
18323,,Alex Anzalone,LB,FA,2018,
17933,James/Charles,Alex Collins,RB,2018,2019,$85
15976,,Alex Okafor,DL,FA,2018,
8416,James/Charles,Alex Smith,QB,2018,2019,$69
17134,,Alfred Blue,RB,FA,2018,
15009,,Alfred Morris,RB,FA,2018,
17163,Quinn,Allen Hurns,WR,2018,2019,$15
18820,John/Zach,Allen Lazard,WR,2018,2020,$1
16799,James/Charles,Allen Robinson,WR,2017,2019,$75
14912,Koci/Mueller,Alshon Jeffery,WR,2017,2019,$90
18187,Keyon,Alvin Kamara,RB,2017,2019,$12
18201,,Amara Darboh,WR,FA,2018,
17677,Mitch,Amari Cooper,WR,2018,2019,$100
17580,,Ameer Abdullah,RB,FA,2018,
15893,,Andre Ellington,RB,FA,2018,
4461,,Andre Johnson,WR,FA,2018,
13226,,Andre Roberts,WR,FA,2018,
16889,,Andre Williams,RB,FA,2018,
13958,,Andrew Hawkins,WR,FA,2018,
14874,Mitch,Andrew Luck,QB,2018,2018,$185
13939,,Andrew Sendejo,DB,FA,2018,
14012,Mitch,Andy Dalton,QB,2018,2018,$65
17937,,Andy Janovich,RB,FA,2018,
4512,,Anquan Boldin,WR,FA,2018,
