Downton Abby Wambach
BE Demaryius Thomas
BE Alshon Jeffery
BE Stephen Hill
BE Nick Toon


Ryan's Hope Solo
QB Ben Roethlisberger
RB Tim Hightower
RB Adrian Peterson
RB/WR Steve Johnson
WR Brandon LaFell
WR Calvin Johnson
WR/TE Kellen Davis
TE Kellen Winslow
OP Christian Ponder
LB Paul Posluszny
DL Julius Peppers
DB Reggie Nelson
DP Darian Stewart
DP Chris Houston
K Sebastian Janikowski
BE Haloti Ngata
BE D'Qwell Jackson
BE Mychal Kendricks
BE Pat Angerer
BE Robert Griffin III
BE Russell Wilson
BE Matt Flynn
BE Vince Young
BE Kirk Cousins
BE Kevin Smith
BE Cedric Benson
BE Jonathan Dwyer
BE Felix Jones
BE Joe McKnight
BE Jeff Demps
BE Anthony Fasano
BE Antonio Brown
BE Santonio Holmes
BE Nate Burleson
BE Terrell Owens


Larry Coker
QB Matt Schaub
RB Stevan Ridley
RB Isaac Redman
RB/WR Beanie Wells
WR Malcom Floyd
WR Titus Young
WR/TE Tony Moeaki
TE Jason Witten
OP Jake Locker
LB Daryl Washington
DL Jason Pierre-Paul
DB Patrick Peterson
DP Casey Hayward
DP Mark Barron
K Garrett Hartley
BE Shaun Hill
BE Elvis Dumervil
BE Jason Babin
BE Perry Riley
BE Karlos Dansby
BE Matthew Stafford
BE T.J. Yates
BE Rashard Mendenhall
BE Donald Brown
BE Keiland Williams
BE Knowshon Moreno
BE Dion Lewis
BE DeSean Jackson
BE Miles Austin
BE Lestar Jean
BE Sidney Rice
BE Jacoby Jones
BE Kendall Wright
BE Rod Streater
BE Cole Beasley


Independent Olympic Athletes
QB Peyton Manning
RB LeGarrette Blount
RB Chris Johnson
RB/WR Frank Gore
WR Brandon Lloyd
WR Eric Decker
WR/TE Antonio Gates
TE Jermaine Gresham
OP Andrew Luck
LB DeMarcus Ware
DL Trent Cole
DB Javier Arenas
DP Janoris Jenkins
DP Morris Claiborne
K Mike Nugent
BE Stephon Gilmore
BE Justin Smith
BE Connor Barwin
BE Michael Johnson
BE Chad Greenway
BE Rolando McClain
