Owner	Name	Position	Start	End	Last	Cut	Now	2025	2026	2027
Jason	Bryant Johnson	WR	2008	2010	$2	2009	$1	$0	$0	$0
Jason	Ernest Wilford	WR	2008	2010	$2	2009	$1	$0	$0	$0
Mike	Drew Bennett	WR	2009	2009	$1	2009	$1	$0	$0	$0
Keyon	L.J. Smith	TE	2008	2010	$3	2009	$2	$0	$0	$0
Patrick	B.J. Raji	DL	2009	2009	$3	2009	$1	$0	$0	$0
Patrick	Ronald Curry	WR	2009	2009	$1	2009	$1	$0	$0	$0
Patrick	Roy Miller	DL	2009	2009	$2	2009	$1	$0	$0	$0
Patrick	Vontae Davis	DB	2009	2009	$7	2009	$2	$0	$0	$0
Anthony	Greg Ellis	DL	2009	2009	$2	2009	$1	$0	$0	$0
Keyon	Chris Perry	RB	2008	2010	$3	2009	$2	$0	$0	$0
Koci/Mueller	Sammy Morris	RB	2009	2009	$12	2009	$4	$0	$0	$0
Brett	David Buehler	K	2009	2009	$3	2009	$1	$0	$0	$0
Brett	Jarett Dillard	WR	2009	2009	$14	2009	$5	$0	$0	$0
Jason	Terrence McGee	DB	2009	2009	$35	2009	$14	$0	$0	$0
Koci/Mueller	Devin Thomas	WR	2008	2010	$4	2009	$2	$0	$0	$0
Luke	J.J. Arrington	RB	2009	2011	$1	2009	$1	$0	$0	$0
Jason	Antonio Smith	DL	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Keith Bulluck	LB	2009	2009	$1	2009	$1	$0	$0	$0
Anthony	Chris Chambers	WR	2009	2009	$14	2009	$5	$0	$0	$0
Luke	BenJarvus Green-Ellis	RB	2009	2010	$1	2009	$1	$0	$0	$0
Luke	Matthew Slater	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Stephen Hauschka	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Bernard Scott	RB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Davone Bess	WR	2009	2011	$4	2009	$1	$0	$0	$0
Luke	Derek Stanley	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Kevin Ogletree	WR	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Rob Bironas	K	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Antwan Odom	DL	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Domenik Hixon	WR	2009	2010	$30	2009	$12	$0	$0	$0
Anthony	Neil Rackers	K	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Chansi Stuckey	WR	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Cortland Finnegan	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Danny Ware	RB	2009	2011	$4	2009	$1	$0	$0	$0
Luke	Akeem Jordan	LB	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Marc Bulger	QB	2009	2009	$3	2009	$1	$0	$0	$0
Keyon	Javon Ringer	RB	2009	2009	$1	2009	$1	$0	$0	$0
Luke	Jonathan Vilma	LB	2009	2011	$1	2009	$1	$0	$0	$0
Luke	Ryan Mouton	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Aaron Brown	RB	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Leodis McKelvin	DB	2009	2011	$35	2009	$14	$0	$0	$0
Koci/Mueller	Chaz Schilens	WR	2009	2011	$1	2009	$1	$0	$0	$0
Anthony	Will Blackmon	DB	2009	2010	$45	2009	$18	$0	$0	$0
Anthony	LaMarr Woodley	DL/LB	2009	2011	$14	2009	$5	$0	$0	$0
Jason	Stephen Cooper	LB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Neil Rackers	K	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Zach Miller (OAK)	TE	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Connor Barwin	DL	2009	2011	$5	2009	$2	$0	$0	$0
Patrick	Adam Vinatieri	K	2009	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	JaMarcus Russell	QB	2009	2011	$14	2009	$5	$0	$0	$0
Luke	Joe Nedney	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Chris Hope	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Earnest Graham	RB	2009	2010	$8	2009	$3	$0	$0	$0
Anthony	Terrence McGee	DB	FA	2009	$14	2009	$5	$0	$0	$0
Anthony	Ellis Hobbs	DB	2008	2010	$16	2009	$11	$0	$0	$0
Anthony	Jake Delhomme	QB	2009	2009	$5	2009	$2	$0	$0	$0
Patrick	Sammy Morris	RB	FA	2009	$4	2009	$1	$0	$0	$0
Luke	Clifton Smith	RB	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Robbie Gould	K	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	D'Qwell Jackson	LB	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Joey Galloway	WR	2009	2009	$2	2009	$1	$0	$0	$0
Keyon	Antwan Odom	DL	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Malcolm Kelly	WR	2009	2011	$1	2009	$1	$0	$0	$0
Anthony	Tramon Williams	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Jordy Nelson	WR	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Shaun Hill	QB	2009	2011	$1	2009	$1	$0	$0	$0
Justin	Larry Johnson	RB	2009	2009	$55	2009	$22	$0	$0	$0
Justin	Mewelde Moore	RB	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Brian Witherspoon	DB	2009	2011	$1	2009	$1	$0	$0	$0
Patrick	Dennis Northcutt	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	London Fletcher	LB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Olindo Mare	K	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Greg Ellis	DL	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Lofa Tatupu	LB	2009	2011	$8	2009	$3	$0	$0	$0
Jason	Darrelle Revis	DB	FA	2009	$1	2009	$1	$0	$0	$0
Justin	Rian Lindell	K	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Rashied Davis	WR	2009	2011	$1	2009	$1	$0	$0	$0
Anthony	Jeff Reed	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Bryant Johnson	WR	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Le'Ron McClain	RB	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Mathias Kiwanuka	DL	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Thomas DeCoud	DB	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Byron Leftwich	QB	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Josh Scobee	K	FA	2009	$1	2009	$1	$0	$0	$0
Justin	Richard Seymour	DL	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Ahman Green	RB	FA	2009	$1	2009	$1	$0	$0	$0
Brett	Ryan Moats	RB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Terrell Suggs	DL/LB	2009	2009	$18	2009	$7	$0	$0	$0
Koci/Mueller	Chris Carr	DB	2009	2009	$5	2009	$2	$0	$0	$0
Koci/Mueller	Allen Rossum	DB	2009	2009	$11	2009	$4	$0	$0	$0
Brett	Ryan Denney	DL	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Nick Folk	K	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Calvin Pace	DL	FA	2009	$1	2009	$1	$0	$0	$0
Brett	Darren Howard	DL	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Clifton Smith	RB	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Marc Bulger	QB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Bernard Berrian	WR	2008	2010	$4	2009	$2	$0	$0	$0
Luke	Sam Aiken	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Dan Carpenter	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Trent Edwards	QB	2009	2011	$8	2009	$3	$0	$0	$0
Patrick	Stephen Tulloch	LB	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Rock Cartwright	RB	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Muhsin Muhammad	WR	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Chris Jennings	RB	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Arian Foster	RB	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Ramses Barden	WR	2009	2011	$1	2009	$1	$0	$0	$0
Keyon	Neil Rackers	K	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Laveranues Coles	WR	2009	2009	$25	2009	$10	$0	$0	$0
Koci/Mueller	Andre Carter	DL	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Tyvon Branch	DB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Will Smith	DL	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Darren McFadden	RB	2008	2010	$187	2010	$158	$0	$0	$0
Schexes	Jay Cutler	QB	2008	2010	$105	2010	$89	$0	$0	$0
Justin	Mark Sanchez	QB	2009	2011	$75	2010	$52	$0	$0	$0
Justin	Santana Moss	WR	2009	2011	$51	2010	$35	$0	$0	$0
Keyon	Steve Smith (CAR)	WR	2008	2010	$133	2010	$113	$0	$0	$0
Keyon	Antonio Bryant	WR	2009	2011	$38	2010	$26	$0	$0	$0
Keyon	Brady Quinn	QB	2008	2010	$3	2010	$2	$0	$0	$0
Justin	Jeremy Maclin	WR	2009	2011	$55	2010	$38	$0	$0	$0
Patrick	Justin Fargas	RB	2009	2011	$6	2010	$4	$0	$0	$0
Patrick	Greg Camarillo	WR	2009	2011	$1	2010	$1	$0	$0	$0
Patrick	Thomas Davis	LB	2009	2011	$1	2010	$1	$0	$0	$0
Koci/Mueller	Marshawn Lynch	RB	2009	2011	$78	2010	$54	$0	$0	$0
Koci/Mueller	Julius Jones	RB	2009	2011	$17	2010	$11	$0	$0	$0
Koci/Mueller	Deon Butler	WR	2009	2011	$5	2010	$3	$0	$0	$0
Koci/Mueller	Justin Gage	WR	2009	2011	$1	2010	$1	$0	$0	$0
Koci/Mueller	Derrick Williams	WR	2009	2011	$1	2010	$1	$0	$0	$0
Luke	Willis McGahee	RB	2008	2010	$44	2010	$37	$0	$0	$0
Luke	Santonio Holmes	WR	2009	2010	$115	2010	$80	$0	$0	$0
Luke	Kevin Walter	WR	2009	2011	$42	2010	$29	$0	$0	$0
Luke	Lance Moore	WR	2009	2011	$22	2010	$15	$0	$0	$0
Luke	Ladell Betts	RB	2009	2011	$1	2010	$1	$0	$0	$0
Brett	Brian Westbrook	RB	2009	2010	$107	2010	$74	$0	$0	$0
Keyon	Glen Coffee	RB	2009	2011	$1	2010	$1	$0	$0	$0
Keyon	Mark Clayton	WR	2009	2011	$2	2010	$1	$0	$0	$0
Keyon	Patrick Turner	WR	2009	2011	$1	2010	$1	$0	$0	$0
Jason	Limas Sweed	WR	2008	2010	$4	2010	$3	$0	$0	$0
Jason	Robert Meachem	WR	2008	2010	$5	2010	$4	$0	$0	$0
Jason	LenDale White	RB	2008	2010	$16	2010	$13	$0	$0	$0
Jason	Garrett Wolfe	RB	2008	2010	$2	2010	$1	$0	$0	$0
Mike	Tyson Jackson	DL	2009	2011	$9	2010	$6	$0	$0	$0
Mike	Shawne Merriman	LB	2008	2010	$3	2010	$2	$0	$0	$0
Mike	Brandon Jacobs	RB	2008	2010	$47	2010	$39	$0	$0	$0
Mike	James Hardy	WR	2008	2010	$12	2010	$10	$0	$0	$0
Mike	Michael Vick	QB	2009	2011	$5	2010	$3	$0	$0	$0
Anthony	Jerious Norwood	RB	2008	2010	$8	2010	$6	$0	$0	$0
Anthony	Aaron Maybin	LB	2009	2011	$10	2010	$7	$0	$0	$0
Anthony	Bradie James	LB	2009	2011	$9	2010	$6	$0	$0	$0
Anthony	Kyle Orton	QB	2009	2011	$23	2010	$16	$0	$0	$0
Anthony	Derrick Ward	RB	2009	2011	$31	2010	$21	$0	$0	$0
Justin	Ryan Succop	K	2009	2011	$3	2010	$2	$0	$0	$0
Jason	Trindon Holliday	WR	2010	2010	$2	2010	$1	$0	$0	$0
Patrick	Dorin Dickerson	RB	2010	2010	$1	2010	$1	$0	$0	$0
Justin	Gibril Wilson	DB	2010	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Donnie Avery	WR	2008	2010	$3	2010	$2	$0	$0	$0
Patrick	Lofa Tatupu	LB	2010	2010	$1	2010	$1	$0	$0	$0
Patrick	Nate Washington	WR	2010	2010	$5	2010	$2	$0	$0	$0
Koci/Mueller	Josh Wilson	DB	2010	2012	$3	2010	$1	$0	$0	$0
Jason	Quinn Scott	RB	2010	2010	$1	2010	$1	$0	$0	$0
Jason	Andre Roberts	WR	2010	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Deji Karim	RB	2010	2012	$4	2010	$1	$0	$0	$0
Patrick	Matt Leinart	QB	2009	2011	$1	2010	$1	$0	$0	$0
Schexes	Adewale Ogunleye	DL	2009	2011	$2	2010	$1	$0	$0	$0
Luke	Willie Parker	RB	2010	2010	$1	2010	$1	$0	$0	$0
Patrick	Kellen Winslow	TE	2008	2010	$63	2010	$53	$0	$0	$0
Jason	Garrett Hartley	K	2010	2010	$3	2010	$1	$0	$0	$0
Koci/Mueller	Dennis Dixon	QB	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	James Davis	RB	2009	2011	$7	2010	$4	$0	$0	$0
Koci/Mueller	Kareem Huggins	RB	FA	2010	$1	2010	$1	$0	$0	$0
Anthony	Aaron Ross	DB	2010	2010	$1	2010	$1	$0	$0	$0
Keyon	Chris Carr	DB	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Andre Caldwell	WR	2010	2010	$2	2010	$1	$0	$0	$0
Luke	Chris Ogbonnaya	RB	2010	2010	$2	2010	$1	$0	$0	$0
Luke	Chaz Schilens	WR	2010	2010	$2	2010	$1	$0	$0	$0
Luke	Will Blackmon	DB	2010	2012	$2	2010	$1	$0	$0	$0
Jason	Ryan Grant	RB	2010	2010	$135	2010	$54	$0	$0	$0
Patrick	Dominique Franks	DB	2010	2012	$1	2010	$1	$0	$0	$0
Koci/Mueller	Sammie Stroughter	WR	2009	2011	$1	2010	$1	$0	$0	$0
Patrick	Larry Johnson	RB	2010	2010	$6	2010	$2	$0	$0	$0
Patrick	Laurence Maroney	RB	2010	2010	$8	2010	$3	$0	$0	$0
Anthony	Eric Weddle	DB	2010	2010	$1	2010	$1	$0	$0	$0
Anthony	Jerry Hughes	DL	2010	2010	$1	2010	$1	$0	$0	$0
Jason	Clint Session	LB	FA	2010	$1	2010	$1	$0	$0	$0
Jason	Stephen Tulloch	LB	FA	2010	$1	2010	$1	$0	$0	$0
Anthony	Ryan Longwell	K	2010	2010	$1	2010	$1	$0	$0	$0
Luke	T.J. Houshmandzadeh	WR	2010	2010	$55	2010	$22	$0	$0	$0
Keyon	Damian Williams	WR	2010	2012	$2	2010	$1	$0	$0	$0
Keyon	Eric Weems	WR	2010	2010	$3	2010	$1	$0	$0	$0
Patrick	Darrell Stuckey	DB	2010	2012	$1	2010	$1	$0	$0	$0
Koci/Mueller	Ray Edwards	DL	2010	2012	$1	2010	$1	$0	$0	$0
Justin	Mike Sims-Walker	WR	2010	2010	$62	2010	$24	$0	$0	$0
Justin	Reggie Bush	RB	2008	2010	$24	2010	$20	$0	$0	$0
Justin	Robert Meachem	WR	2010	2010	$20	2010	$8	$0	$0	$0
Justin	A.J. Edds	LB	2010	2012	$1	2010	$1	$0	$0	$0
Justin	Aaron Curry	LB	2009	2011	$10	2010	$7	$0	$0	$0
Justin	Mathias Kiwanuka	DL	FA	2010	$1	2010	$1	$0	$0	$0
Justin	Sage Rosenfels	QB	2010	2012	$1	2010	$1	$0	$0	$0
Koci/Mueller	Laurence Maroney	RB	FA	2010	$1	2010	$1	$0	$0	$0
Patrick	Brandon Jackson	RB	FA	2010	$165	2010	$66	$0	$0	$0
Luke	Lamarr Houston	DL	2010	2012	$1	2010	$1	$0	$0	$0
Keyon	John Kuhn	RB	FA	2010	$4	2010	$1	$0	$0	$0
Luke	Koa Misi	LB	2010	2012	$1	2010	$1	$0	$0	$0
Justin	Sean Lee	LB	2010	2012	$1	2010	$1	$0	$0	$0
Anthony	Derrick Morgan	DL	2010	2011	$1	2010	$1	$0	$0	$0
Justin	Alan Ball	DB	2010	2012	$1	2010	$1	$0	$0	$0
Jason	Darrelle Revis	DB	2010	2010	$7	2010	$2	$0	$0	$0
Schexes	Matt Moore	QB	2010	2010	$6	2010	$2	$0	$0	$0
Brett	Jake Delhomme	QB	2010	2010	$5	2010	$2	$0	$0	$0
Schexes	Jonathan Dwyer	RB	2010	2012	$7	2010	$2	$0	$0	$0
Anthony	Legedu Naanee	WR	2010	2011	$17	2010	$6	$0	$0	$0
Anthony	Mike Nugent	K	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Daryl Washington	LB	2010	2012	$1	2010	$1	$0	$0	$0
Luke	Kirk Morrison	LB	2010	2010	$5	2010	$2	$0	$0	$0
Luke	Lawrence Tynes	K	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Micheal Spurlock	WR	FA	2010	$3	2010	$1	$0	$0	$0
Keyon	Darnell Dockett	DL	2010	2010	$1	2010	$1	$0	$0	$0
Keyon	Tashard Choice	RB	2009	2011	$3	2010	$2	$0	$0	$0
Justin	John Kuhn	RB	FA	2010	$10	2010	$4	$0	$0	$0
Justin	Tiquan Underwood	WR	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Charlie Whitehurst	QB	2010	2012	$1	2010	$1	$0	$0	$0
Koci/Mueller	Kevin Smith	RB	2008	2010	$7	2010	$5	$0	$0	$0
Anthony	Elvis Dumervil	DL	2010	2012	$2	2010	$1	$0	$0	$0
Anthony	Kevin Boss	TE	2009	2011	$1	2010	$1	$0	$0	$0
Luke	Nick Folk	K	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Rashad Jennings	RB	2010	2011	$1	2010	$1	$0	$0	$0
Jason	Dwight Freeney	DL	2010	2010	$5	2010	$2	$0	$0	$0
Jason	Troy Polamalu	DB	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Nate Kaeding	K	2008	2010	$2	2010	$1	$0	$0	$0
Justin	David Akers	K	FA	2010	$1	2010	$1	$0	$0	$0
Justin	Haloti Ngata	DL	FA	2010	$2	2010	$1	$0	$0	$0
Anthony	Ellis Hobbs	DB	2010	2010	$1	2010	$1	$0	$0	$0
Keyon	Anthony Dixon	RB	2010	2012	$1	2010	$1	$0	$0	$0
Keyon	Perrish Cox	DB	FA	2010	$2	2010	$1	$0	$0	$0
Keyon	Tyvon Branch	DB	2010	2010	$3	2010	$1	$0	$0	$0
Justin	Brian Dawkins	DB	2010	2012	$1	2010	$1	$0	$0	$0
Anthony	Graham Gano	K	FA	2010	$1	2010	$1	$0	$0	$0
Patrick	Bernard Berrian	WR	FA	2010	$40	2010	$16	$0	$0	$0
Jason	Adam Jones	DB	2010	2010	$1	2010	$1	$0	$0	$0
Jason	John Kasay	K	FA	2010	$1	2010	$1	$0	$0	$0
Patrick	Correll Buckhalter	RB	FA	2010	$15	2010	$6	$0	$0	$0
Luke	Robbie Gould	K	FA	2010	$1	2010	$1	$0	$0	$0
Jason	Patrick Chung	DB	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Rob Ninkovich	DL	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Danny Woodhead	RB/WR	FA	2010	$3	2010	$1	$0	$0	$0
Justin	Anthony Spencer	LB	2010	2012	$1	2010	$1	$0	$0	$0
Justin	Evan Moore	TE	FA	2010	$7	2010	$2	$0	$0	$0
Patrick	Devery Henderson	WR	FA	2010	$1	2010	$1	$0	$0	$0
Patrick	E.J. Henderson	LB	FA	2010	$1	2010	$1	$0	$0	$0
Jason	Dan Connor	LB	FA	2010	$1	2010	$1	$0	$0	$0
Jason	Eric Weddle	DB	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Jason Hanson	K	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Laurent Robinson	WR	FA	2010	$1	2010	$1	$0	$0	$0
Keyon	Stephen Gostkowski	K	2009	2011	$2	2010	$1	$0	$0	$0
Patrick	A.J. Hawk	LB	FA	2010	$1	2010	$1	$0	$0	$0
Patrick	Robbie Gould	K	FA	2010	$1	2010	$1	$0	$0	$0
Brett	Gerald McCoy	DL	2010	2012	$1	2010	$1	$0	$0	$0
Koci/Mueller	Mike Nugent	K	FA	2010	$1	2010	$1	$0	$0	$0
Justin	Roscoe Parrish	WR	FA	2010	$2	2010	$1	$0	$0	$0
Mike	Morgan Burnett	DB	2010	2010	$1	2010	$1	$0	$0	$0
Jason	Rolando McClain	LB	2010	2010	$1	2010	$1	$0	$0	$0
Schexes	Juaquin Iglesias	WR	2009	2011	$3	2010	$2	$0	$0	$0
Koci/Mueller	Chris Clemons	DL	FA	2010	$1	2010	$1	$0	$0	$0
Patrick	Derrick Mason	WR	2010	2010	$25	2010	$10	$0	$0	$0
Patrick	Josh Morgan	WR	2009	2011	$10	2010	$7	$0	$0	$0
Brett	Adam Vinatieri	K	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Alex Smith	QB	2010	2010	$33	2010	$13	$0	$0	$0
Luke	Louis Murphy	WR	2010	2012	$1	2010	$1	$0	$0	$0
Luke	Jason Babin	LB	FA	2010	$2	2010	$1	$0	$0	$0
Luke	Nate Allen	DB	2010	2012	$1	2010	$1	$0	$0	$0
Luke	Mewelde Moore	RB	2010	2011	$1	2010	$1	$0	$0	$0
Koci/Mueller	Kyle Vanden Bosch	DL	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Devin Thomas	WR	2010	2012	$5	2010	$2	$0	$0	$0
Justin	Akwasi Owusu-Ansah	DB	2010	2012	$1	2010	$1	$0	$0	$0
Anthony	Deji Karim	RB	FA	2010	$2	2010	$1	$0	$0	$0
Luke	Jordy Nelson	WR	2010	2012	$1	2010	$1	$0	$0	$0
Jason	Dave Ball	DL	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	John Carlson	TE	2009	2011	$7	2010	$4	$0	$0	$0
Koci/Mueller	Dustin Keller	TE	2009	2011	$5	2010	$3	$0	$0	$0
Koci/Mueller	Jon Kitna	QB	FA	2010	$1	2010	$1	$0	$0	$0
Koci/Mueller	Ted Ginn Jr.	WR	2010	2012	$20	2010	$8	$0	$0	$0
Koci/Mueller	Will Smith	DL	2010	2010	$18	2010	$7	$0	$0	$0
Luke	David Akers	K	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Roman Harper	DB	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Stephen Tulloch	LB	FA	2010	$1	2010	$1	$0	$0	$0
Luke	Terrell Thomas	DB	FA	2010	$5	2010	$2	$0	$0	$0
Patrick	Marion Barber	RB	2009	2011	$125	2011		$0	$0	$0
Patrick	Aaron Kampman	DL	2009	2011	$6	2011		$0	$0	$0
Patrick	Joe McKnight	RB	2010	2012	$7	2011		$0	$0	$0
Koci/Mueller	Darren Sproles	RB	2009	2011	$118	2011		$0	$0	$0
Luke	Justin Forsett	RB	2010	2011	$70	2011		$0	$0	$0
Justin	Brandon Jacobs	RB	2010	2011	$40	2011		$0	$0	$0
Justin	Brian Orakpo	LB	2009	2011	$13	2011		$0	$0	$0
Justin	Taylor Mays	DB	2010	2012	$1	2011		$0	$0	$0
Justin	Kevin Kolb	QB	2010	2011	$39	2011		$0	$0	$0
Justin	Jimmy Clausen	QB	2010	2012	$6	2011		$0	$0	$0
Justin	Stafon Johnson	RB	2010	2012	$4	2011		$0	$0	$0
Mike	Jeremy Shockey	TE	2010	2012	$2	2011		$0	$0	$0
Mike	Steve Smith (PHI)	WR	2010	2011	$45	2011		$0	$0	$0
Mike	Golden Tate	WR	2010	2012	$15	2011		$0	$0	$0
Mike	Roy Williams	WR	2010	2011	$15	2011		$0	$0	$0
Mike	Justin Gage	WR	2010	2011	$1	2011		$0	$0	$0
Keyon	Pierre Garcon	WR	2010	2011	$52	2011		$0	$0	$0
Keyon	Karlos Dansby	LB	2009	2011	$1	2011		$0	$0	$0
Keyon	Oshiomogho Atogwe	DB	2009	2011	$1	2011		$0	$0	$0
Keyon	Vince Young	QB	2009	2011	$1	2011		$0	$0	$0
Keyon	DeAngelo Williams	RB	2009	2011	$145	2011		$0	$0	$0
Keyon	Visanthe Shiancoe	TE	2009	2011	$9	2011		$0	$0	$0
Keyon	Demaryius Thomas	WR	2010	2012	$8	2011		$0	$0	$0
Brett	Carson Palmer	QB	2009	2011	$79	2011		$0	$0	$0
Jason	Joseph Addai	RB	2009	2011	$85	2011		$0	$0	$0
Jason	Montario Hardesty	RB	2010	2011	$28	2011		$0	$0	$0
Schexes	Darrius Heyward-Bey	WR	2009	2011	$14	2011		$0	$0	$0
Schexes	Devin Aromashodu	WR	2010	2011	$30	2011		$0	$0	$0
Schexes	Chris Chambers	WR	2010	2011	$8	2011		$0	$0	$0
Anthony	Early Doucet	WR	2010	2011	$17	2011		$0	$0	$0
Jason	Ronnie Brown	RB	2010	2011	$65	2011		$0	$0	$0
Keyon	Jimmy Smith	DB	2011	2011	$1	2011		$0	$0	$0
Koci/Mueller	Leon Washington	RB	2011	2011	$6	2011		$0	$0	$0
Koci/Mueller	Lance Briggs	LB	2010	2012	$6	2011		$0	$0	$0
Koci/Mueller	Javier Arenas	DB	2010	2012	$1	2011		$0	$0	$0
Patrick	Anthony Fasano	TE	2009	2011	$4	2011		$0	$0	$0
Patrick	Garrett Hartley	K	2011	2011	$2	2011		$0	$0	$0
Anthony	Javon Ringer	RB	2011	2011	$1	2011		$0	$0	$0
Anthony	Curtis Lofton	LB	2010	2011	$4	2011		$0	$0	$0
Koci/Mueller	Donnie Avery	WR	2011	2013	$1	2011		$0	$0	$0
Justin	Bruce Carter	LB	2011	2011	$1	2011		$0	$0	$0
Luke	Vincent Brown	WR	2011	2013	$1	2011		$0	$0	$0
Patrick	Stewart Bradley	LB	2010	2012	$2	2011		$0	$0	$0
Patrick	Eric Berry	DB	2010	2012	$1	2011		$0	$0	$0
Keyon	Jon Beason	LB	2011	2011	$3	2011		$0	$0	$0
Koci/Mueller	Danny Amendola	WR	2011	2011	$78	2011		$0	$0	$0
Justin	Marcell Dareus	DL	2011	2011	$1	2011		$0	$0	$0
Brett	Mardy Gilyard	WR	2010	2012	$2	2011		$0	$0	$0
Luke	Thomas Jones	RB	2011	2013	$1	2011		$0	$0	$0
Luke	LaRod Stephens-Howling	RB	2011	2013	$1	2011		$0	$0	$0
Luke	Akeem Ayers	LB	2011	2013	$1	2011		$0	$0	$0
Patrick	Adam Vinatieri	K	FA	2011	$1	2011		$0	$0	$0
Patrick	Patrick Crayton	WR	2011	2011	$1	2011		$0	$0	$0
Keyon	Antoine Cason	DB	2011	2013	$1	2011		$0	$0	$0
Justin	Chris Hope	DB	2011	2011	$1	2011		$0	$0	$0
Schexes	Nate Irving	LB	2011	2013	$1	2011		$0	$0	$0
Patrick	Casey Matthews	LB	2011	2013	$1	2011		$0	$0	$0
Koci/Mueller	Jason Babin	LB	FA	2011	$1	2011		$0	$0	$0
Luke	Doug Baldwin	WR	FA	2011	$2	2011		$0	$0	$0
Luke	Jerrel Jernigan	WR	2011	2013	$1	2011		$0	$0	$0
Luke	Luke McCown	QB	FA	2011	$2	2011		$0	$0	$0
Patrick	Donald Brown	RB	2009	2011	$28	2011		$0	$0	$0
Keyon	Torrey Smith	WR	2011	2013	$4	2011		$0	$0	$0
Keyon	Brad Smith	WR	2011	2013	$2	2011		$0	$0	$0
