"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","Score","%D","ADP","GP","FG%","3PTM","FTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04qsa*","Jalen Brunson","NY","PG,G","34","Justin","29","","120","23/24","88.92","100","22.3","70",".479","177.2","358.3",".844","1937.1","244.6","469.4","66.1","13.2","165.3"
"*05qtj*","Deni Avdija","POR","SG,G,SF,PF","35","Justin","24","","12","23/25","88.74","100","46.8","75",".509","95.3","214",".738","1186.7","586.7","293.3","66.7","40","173.3"
"*04qrk*","Trae Young","ATL","PG,G","36","Justin","27","","205","TBA","88.72","100","10","70",".430","228.2","424.2",".857","1771","189","749","98","14","301"
"*05uib*","Cade Cunningham","DET","PG,SG,G","37","Mitch","24","","150","TBA","88.65","100","7","70",".450","136","257.3",".868","1565.7","308","526.2","64.2","25.7","237.4"
"*01enh*","Stephen Curry","GS","PG,G","38","RMK","37","@LAL Tue 7:00PM","170","TBA","88.12","100","15.4","70",".448","330.4","250.1",".924","1798.2","304.9","354.7","49.8","24.9","192.9"
"*05uiu*","Jalen Johnson","ATL","SF,PF","39","Charles","23","","105","TBA","88.02","100","26.6","65",".495","86.6","130.8",".706","1074.3","587.7","259.1","82.2","56.9","120.1"
"*042nm*","Pascal Siakam","IND","SF,PF","40","RMK","31","","125","23/24","87.55","100","32.5","75",".535","76.7","248.7",".723","1553.3","533.3","300","60","20","126.7"
"*03ams*","Zach LaVine","SAC","SG,G,SF","41","Jason","30","","115","23/24","87.27","100","56.1","70",".456","164","214.9",".853","1282.6","350.4","271.1","59.5","26.4","145.4"
"*03ad2*","Myles Turner","MIL","C","42","Mitch","29","","100","TBA","87.2","100","42.1","70",".514","109.4","222.1",".770","1208.7","495.4","92.6","38.1","136.1","103.4"
"*06v5l*","Cooper Flagg","DAL","PG,SG,G,SF","43","FA","18","","1","TBA","87.07","100","39.9","70",".487","103.7","151.9",".759","1000.6","476.2","186.9","66.3","60.3","108.5"
"*03ajv*","Julius Randle","MIN","PF","44","Joel","30","","58","TBA","86.76","100","62.3","70",".474","119.7","320.6",".785","1580.1","614.8","330.6","39.7","19.8","231.4"
"*027oz*","Kawhi Leonard","LAC","SF,PF","45","SyKo","34","","1","TBA","86.61","100","46","50",".523","94.4","172.8",".887","1118.3","293.3","169.6","77.9","41.3","82.5"
"*05qtr*","Devin Vassell","SA","SG,G,SF","46","Mitch","25","","75","23/25","86.44","100","104.6","65",".473","157.2","153.5",".796","1283","257.8","282.4","73.7","24.6","104.4"
"*03nwk*","Kelly Oubre Jr.","PHI","SF,PF","47","pat","29","","9","TBA","86.39","100","150.1","65",".443","100","173.9",".752","1063.1","352.4","127.1","80.9","46.2","92.4"
"*05uii*","Franz Wagner","ORL","SF,PF","48","Luke","24","","87","TBA","86.21","100","40.7","70",".488","94","246.4",".843","1331.6","354.7","248.9","68.4","24.9","136.9"
"*027p0*","Nikola Vucevic","CHI","C","49","Joel","34","","71","TBA","86","100","48.8","75",".486","86","116",".809","1280","746.7","240","46.7","53.3","113.3"
"*05uid*","Evan Mobley","CLE","PF,C","50","Schevin","24","","83","TBA","85.96","100","18.9","70",".580","35","164.7",".694","1048.8","597.7","236.8","56.4","95.9","118.4"
"*051oi*","Ja Morant","MEM","PG,G","51","Luke","26","","120","TBA","85.93","100","39.4","60",".475","107.1","271.4",".797","1360","323","470.3","45.3","34","175.7"
"*06ca8*","Amen Thompson","HOU","SG,G,SF,PF","52","Jason","22","@OKC Tue 4:30PM","13","23/25","85.89","100","23.8","70",".536","25","170.7",".691","1007.4","680.2","256.7","128.3","64.2","147.6"
"*04qrr*","Michael Porter","BKN","SF,PF","53","Joel","27","","65","TBA","85.8","100","70.3","80",".487","225.9","109.3",".842","1408","586.7","124.7","44","51.3","95.3"
"*027pe*","Jimmy Butler","GS","SF,PF","54","Joel","36","@LAL Tue 7:00PM","100","TBA","85.45","100","54.2","60",".499","60.6","380.2",".855","1229.7","311.7","294.7","79.3","17","96.3"
"*04ewm*","Jarrett Allen","CLE","C","55","pat","27","","100","22/24","85.05","100","60.8","80",".619","2.7","234.7",".747","1253.3","793.3","206.7","53.3","80","120"
"*05uus*","Austin Reaves","LAL","PG,SG,G,SF","56","Mitch","27","GS Tue 7:00PM","76","23/25","84.97","100","47.4","70",".480","138.2","201",".854","1150.3","330.6","416.5","59.5","19.8","158.7"
"*06mll*","Jaylen Wells","MEM","SG,G,SF","57","pat","22","","1","TBA","84.85","97","166.9","75",".462","125.1","129.9",".805","936.5","350.4","175.2","84.6","42.3","84.6"
"*04ewn*","OG Anunoby","NY","PF","58","Mitch","28","","50","TBA","84.62","100","61.5","70",".482","130.9","115",".783","1004.9","297.5","145.4","92.6","52.9","112.4"
"*03el5*","Kristaps Porzingis","ATL","C","59","RMK","30","","140","23/24","84.61","100","61.1","50",".514","95.9","215.5",".866","982.8","354.4","104.7","36.3","92.6","76.5"
"*06211*","Chet Holmgren","OKC","PF,C","60","Mike","23","HOU Tue 4:30PM","9","22/24","84.23","100","29.1","60",".518","90.4","156.1",".794","947.3","464","130.5","38.7","135.3","96.7"
"*04azw*","Lauri Markkanen","UTA","SF,PF","61","Mitch","28","","148","TBA","84.18","100","59.1","50",".476","154","221.8",".911","1132.1","394.2","96.3","45.8","22.9","68.8"
"*051on*","Coby White","CHI","PG,SG,G","62","Joel","25","","12","23/25","84.06","100","61","75",".442","189.6","206.4",".850","1363.5","328.1","364.6","43.8","14.6","153.1"
"*051p8*","Jordan Poole","NO","PG,SG,G","63","Joel","26","","34","TBA","83.98","100","68.8","70",".416","174.8","170",".881","1247.8","204.9","355.6","78.4","24.1","174.8"
"*051or*","Cameron Johnson","DEN","SF,PF","64","SyKo","29","","60","23/25","83.85","100","87.8","65",".446","177.4","123.6",".804","1016.9","323.6","173.3","63.6","23.1","75.1"
"*06mk3*","Matas Buzelis","CHI","SF,PF","65","Justin","20","","4","TBA","83.73","100","93","80",".462","133.4","138.6",".805","998.9","386.7","174","64.4","32.2","96.7"
"*0621k*","Christian Braun","DEN","SG,G,SF","66","SyKo","24","","5","23/25","83.65","100","95.6","75",".452","94.2","133.2",".684","878.3","467.5","198.3","63.8","49.6","85"
"*04qrm*","Collin Sexton","CHA","PG,SG,G","67","Charles","26","","52","TBA","83.6","100","126.8","70",".488","127.4","293.8",".851","1409.7","197.4","372.2","62","16.9","163.5"
"*06mk6*","Carlton Carrington","WAS","PG,G","68","Li'lSeb","20","","9","TBA","83.47","100","132.6","75",".457","140.6","146.9",".825","1068.8","300","343.8","75","25","162.5"
"*06mkd*","Yves Missi","NO","C","69","SyKo","21","","1","TBA","83.23","100","137.6","75",".564","34.9","160.3",".729","916.9","607.5","146.3","56.3","90","112.5"
"*05uj9*","Herbert Jones","NO","SF,PF","70","SyKo","27","","30","22/24","83.22","100","120.4","70",".506","110.1","129.4",".856","815.1","248.9","192.9","105.8","62.2","87.1"
"*05qu9*","Immanuel Quickley","TOR","PG,G","71","Mike","26","","78","TBA","82.99","100","73.2","65",".434","173.3","200.5",".838","1167.1","277.3","381.3","52","11.6","104"
"*06mju*","Alex Sarr","WAS","PF,C","72","RMK","20","","4","TBA","82.93","100","78","70",".487","97","141.5",".756","936.1","445.5","146.6","50.8","50.8","107.1"
"*04ewr*","Kyle Kuzma","MIL","SF,PF","73","RMK","30","","44","23/24","82.92","100","147","65",".467","118.9","149.2",".768","1251.4","382.2","246.1","31.4","41.9","157.1"
"*06214*","Jaden Ivey","DET","SG,G","74","Jason","23","","19","23/25","82.86","100","113.6","70",".427","119.6","205.9",".764","1125.8","250.8","280","52.5","40.8","180.8"
"*05qt4*","Aaron Nesmith","IND","SF,PF","75","RMK","25","","8","TBA","82.7","100","131.3","70",".484","142.9","117.8",".783","921.7","285.8","122.5","70","52.5","70"
"*05uup*","Jay Huff","IND","C","76","Li'lSeb","28","","2","TBA","82.61","100","143.5","70",".547","69.1","130.7",".749","858.7","485.3","126","56","74.7","88.7"
"*049kc*","Malik Monk","SAC","PG,SG,G","77","Li'lSeb","27","","10","TBA","82.4","100","114.9","70",".445","138.6","167",".818","1113","215.3","362.3","47.3","42","152.3"
"*04ewk*","John Collins","LAC","SF,PF","78","Jason","28","","40","23/24","82.03","100","89.3","70",".539","86.6","158.4",".802","1072.6","593.4","76.2","43.6","65.3","103.4"
"*031lx*","CJ McCollum","WAS","PG,SG,G","79","Mike","34","","42","TBA","81.89","100","102.4","60",".451","199.5","101.9",".830","1146.7","256","272","53.3","37.3","96"
"*04qrp*","Miles Bridges","CHA","SF,PF","80","Jason","27","","1","23/25","81.76","100","75.9","65",".462","124.3","131",".810","1125","397.4","179.1","50.4","28","106.3"
"*06216*","Shaedon Sharpe","POR","SG,G,SF","81","Charles","22","","3","22/24","81.71","100","91.7","70",".415","130","194.1",".817","1076.4","336","199.1","56","24.9","149.3"
"*06mk7*","Kelel Ware","MIA","C","82","SyKo","21","","2","TBA","81.6","100","96.1","70",".564","33.8","155.2",".729","887.4","588","141.6","54.4","81.7","114.3"
"*06v58*","Tre Johnson","WAS","SG,G","83","FA","19","","1","TBA","81.38","76","197.9","70",".448","134.2","131.3",".813","945","303.3","233.3","64.2","35","110.8"
"*02xg9*","Rudy Gobert","MIN","C","84","Charles","33","","65","23/24","81.29","100","66.8","75",".656","2.2","237.7",".637","1057.3","991.7","109.4","51","160.4","124"
"*06v5r*","Egor Demin","BKN","PG,G","85","FA","19","","1","TBA","81.28","92","174.8","70",".457","131.3","140",".842","997.5","256.7","344.2","75.8","23.3","122.5"
"*06cca*","Brandon Miller","CHA","SF,PF","86","Justin","22","","19","23/25","81.17","100","56.3","60",".445","158.7","121.3",".817","1110.7","272","147.3","56.7","39.7","113.3"
"*06mjw*","Stephon Castle","SA","PG,SG,G","87","Luke","20","","3","TBA","81.14","100","112.7","75",".448","139","135.9",".812","978.8","302.1","229.6","66.5","30.2","120.8"
"*06v5a*","Collin Murray-Boyles","TOR","PF","88","FA","20","","1","TBA","81.09","57","239.2","70",".487","87","127.4",".759","839.2","399.4","156.7","55.6","50.6","91"
"*05qto*","LaMelo Ball","CHA","PG,G","89","Justin","24","","125","TBA","80.82","100","29.9","50",".435","146.8","172.2",".851","1093.6","249.7","383.2","86.1","8.6","180.8"
"*06mjz*","Donovan Clingan","POR","C","90","Jason","21","","19","TBA","80.75","100","88.9","70",".564","33.8","155.2",".729","887.4","588","141.6","49","81.7","114.3"
"*03al2*","Joel Embiid","PHI","C","91","FA","31","","1","TBA","80.66","100","53.1","35",".528","38.5","311.5",".883","1064.6","338.3","169.2","35","52.5","119.6"
"*06v57*","Ace Bailey","UTA","PG,SG,G,SF","92","FA","19","","1","TBA","80.61","100","150.1","70",".462","120.8","124.8",".801","904.2","338.3","192.5","64.2","35","99.2"
"*04qru*","Donte DiVincenzo","MIN","PG,SG,G","93","Justin","28","","8","23/24","80.59","100","124.3","70",".435","240.6","81.1",".741","1078","245","174.2","92.6","32.7","92.6"
"*05uj4*","Santi Aldama","MEM","PF,C","94","SyKo","24","","2","23/25","80.59","100","126.9","70",".440","132","78.4",".647","828.9","439.8","169.2","56.4","67.7","84.6"
"*06mkl*","Isaiah Collier","UTA","PG,SG,G","95","Mitch","21","","1","TBA","80.26","100","154.3","70",".457","126.9","132.5",".825","964.3","265","304.5","78.9","28.2","152.3"
"*05qsx*","Obi Toppin","IND","PF","96","Jason","27","","5","TBA","80.2","88","178.8","80",".556","113.3","96.1",".758","944.4","377.8","138.9","50","50","77.8"
"*06cd4*","Toumani Camara","POR","PF","97","Mitch","25","","2","TBA","80.16","100","99.6","75",".466","84.6","116.2",".786","783.8","474.4","137.5","96.3","48.1","123.8"
"*05uj1*","Cameron Thomas","BKN","SG,G,SF","98","Joel","23","","61","TBA","80.07","100","90.8","60",".446","133.1","266.8",".863","1386","214.5","192.5","44","16.5","121"
"*05uig*","Josh Giddey","CHI","PG,SG,G","99","Joel","22","","50","TBA","79.96","100","26.7","70",".481","86.8","102.6",".784","1003.7","518.8","406","50.8","45.1","163.5"
"*027ou*","Klay Thompson","DAL","SG,G,SF","100","SyKo","35","","75","23/24","79.8","100","152.5","75",".431","253.1","113",".916","1305","241.7","175.2","48.3","30.2","114.8"
"*06mle*","Kyle Filipowski","UTA","PF,C","101","Schevin","21","","1","TBA","79.78","100","123","70",".564","31.3","144.1",".729","824.1","546","121.3","50.6","85.9","96.1"
"*06212*","Jabari Smith","HOU","PF","102","Charles","22","@OKC Tue 4:30PM","28","22/24","79.69","100","136.4","65",".453","113.2","128.9",".818","855.8","487.5","92.1","43.3","48.8","75.8"
"*051ot*","Tyler Herro","MIA","PG,SG,G","103","Jason","25","","72","22/24","79.63","100","63.1","70",".442","212.2","125.1",".827","1362.7","360.9","292.4","49.8","6.2","136.9"
"*06226*","Moussa Diabate","CHA","C","104","SyKo","23","","21","TBA","79.47","98","175.7","70",".521","32.5","146.7",".679","671.6","444.9","81.3","89.8","68.4","68.4"
"*06v5n*","Kon Knueppel","CHA","PG,SG,G,SF","105","FA","20","","1","TBA","79.46","100","152.8","70",".448","129.7","126.9",".812","913.5","293.2","225.6","62","33.8","107.1"
"*051os*","P.J. Washington","DAL","PF","106","Mitch","27","","35","23/25","79.41","100","140.3","65",".446","117.5","92.6",".678","839.6","362.9","113.8","65","54.2","86.7"
